drug_index,label,normalised_name,pubchem_cid,pubchem_parent_cid,pubchem_title,chembl_id,chembl_parent_id,inchikey,chembl_inchikey,molecular_formula,smiles,deposited_smiles,chembl_smiles,n_name_hits,n_fragments,discarded_fragments,contains_metal,name_in_synonyms,databases_agree,flags,notes
0,Allopurinol,Allopurinol,135401907,135401907,Allopurinol,CHEMBL1467,CHEMBL1467,OFCNXPDARWKPPY-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N,C5H4N4O,O=c1[nH]cnc2[nH]ncc12,C1=NNC2=C1C(=O)NC=N2,Oc1ncnc2[nH]ncc12,1,1,,False,True,True,,
1,Altretamine,Altretamine,2123,2123,Altretamine,CHEMBL1455,CHEMBL1455,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,C9H18N6,CN(C)c1nc(N(C)C)nc(N(C)C)n1,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,CN(C)c1nc(N(C)C)nc(N(C)C)n1,1,1,,False,True,True,,
2,Amifostine,Amifostine,2141,2141,Amifostine,CHEMBL1006,CHEMBL1006,JKOQGQFVAUAYPM-UHFFFAOYSA-N,JKOQGQFVAUAYPM-UHFFFAOYSA-N,C5H15N2O3PS,NCCCNCCSP(=O)(O)O,C(CN)CNCCSP(=O)(O)O,NCCCNCCSP(=O)(O)O,1,1,,False,True,True,,
3,Aminolevulinic Acid,Aminolevulinic Acid,137,137,5-Aminolevulinic Acid,CHEMBL601,CHEMBL601,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,C5H9NO3,NCC(=O)CCC(=O)O,C(CC(=O)O)C(=O)CN,NCC(=O)CCC(=O)O,1,1,,False,True,True,,
4,Anastrozole,Anastrozole,2187,2187,Anastrozole,CHEMBL1399,CHEMBL1399,YBBLVLTVTVSKRW-UHFFFAOYSA-N,YBBLVLTVTVSKRW-UHFFFAOYSA-N,C17H19N5,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,1,1,,False,True,True,,
5,Arsenic Trioxide,Arsenic Trioxide,14888,,Arsenic Trioxide,CHEMBL5483015,CHEMBL5483015,QTLQKAJBUDWPIB-UHFFFAOYSA-N,MOQADKPFYVWPSE-UHFFFAOYSA-N,As2O3,[As+3].[As+3].[O-2].[O-2].[O-2],[O-2].[O-2].[O-2].[As+3].[As+3],O=[As][As+](=O)[O-],1,5,,True,True,False,caveat:metal-complex-kept-whole;check:pubchem-chembl-disagree,
6,Axitinib,Axitinib,6450551,6450551,Axitinib,CHEMBL1289926,CHEMBL1289926,RITAVMQDGBJQJZ-FMIVXFBMSA-N,RITAVMQDGBJQJZ-FMIVXFBMSA-N,C22H18N4OS,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,1,1,,False,True,True,,
7,Azacitidine,Azacitidine,9444,9444,Azacytidine,CHEMBL1489,CHEMBL1489,NMUSYJAQQFHJEW-KVTDHHQDSA-N,NMUSYJAQQFHJEW-KVTDHHQDSA-N,C8H12N4O5,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,1,1,,False,True,True,,
8,Bendamustine HCl,Bendamustine HCl,77082,65628,Bendamustine Hydrochloride,CHEMBL487253,CHEMBL487253,YTKUWDBFDASYHO-UHFFFAOYSA-N,YTKUWDBFDASYHO-UHFFFAOYSA-N,C16H22Cl3N3O2,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,1,2,Cl,False,True,True,,
9,Bleomycin,Bleomycin,5360373,5360373,Bleomycin,CHEMBL6067492,CHEMBL6067492,OYVAGSVQBOHSSS-WXFSZRTFSA-O,,C55H84N17O21S3+,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,,1,1,,False,True,False,check:no-chembl-structure,
10,Bortezomib,Bortezomib,387447,387447,Bortezomib,CHEMBL325041,CHEMBL325041,GXJABQQUPOEUTA-RDJZCZTQSA-N,GXJABQQUPOEUTA-RDJZCZTQSA-N,C19H25BN4O4,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1,1,,False,True,True,,
11,Busulfan,Busulfan,2478,2478,Busulfan,CHEMBL820,CHEMBL820,COVZYZSDYWQREU-UHFFFAOYSA-N,COVZYZSDYWQREU-UHFFFAOYSA-N,C6H14O6S2,CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(=O)(=O)OCCCCOS(=O)(=O)C,CS(=O)(=O)OCCCCOS(C)(=O)=O,1,1,,False,True,True,,
12,Cabazitaxel,Cabazitaxel,9854073,9854073,Cabazitaxel,CHEMBL1201748,CHEMBL1201748,BMQGVNUXMIRLCK-OAGWZNDDSA-N,BMQGVNUXMIRLCK-OAGWZNDDSA-N,C45H57NO14,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,1,1,,False,True,True,,
13,Capecitabine,Capecitabine,60953,60953,Capecitabine,CHEMBL1773,CHEMBL1773,GAGWJHPBXLXJQN-UORFTKCHSA-N,GAGWJHPBXLXJQN-UORFTKCHSA-N,C15H22FN3O6,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,1,1,,False,True,True,,
14,Carboplatin,Carboplatin,10339178,2568,"Platinum, diammine[1,1-cyclobutanedi(carboxylato-kO)(2-)]-, (SP-4-2)-",CHEMBL1351,CHEMBL1351,OLESAACUTLOWQZ-UHFFFAOYSA-L,,C6H12N2O4Pt,C1CC(C1)(C(=O)[O-])C(=O)[O-].N.N.[Pt+2],C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],,1,4,,True,True,False,caveat:metal-complex-kept-whole;check:no-chembl-structure;audited:structure-overridden,"AUDIT OVERRIDE. PubChem's name-indexed carboplatin record, CID 426756 -- the only hit for the literal name -- mis-depicts the two ammine (NH3) ligands as azanide anions [NH2-] and the chelating cyclobutane-1,1-dicarboxylate dianion as the neutral free diacid. The molecular formula is coincidentally identical (C6H12N2O4Pt) so the formula check cannot see it, and CHEMBL1351 carries no structure at all so the cross-check could not fire. Formal charge and hydrogen count are both Morgan atom invariants, so this reaches the features: ECFP4 Tanimoto between the two depictions is 0.50, and the mis-depicted one is 0.875 similar to bare 1,1-cyclobutanedicarboxylic acid. That is the exact failure the fragment rule was written to prevent, arriving by a different route. Corroboration: CID 10339178; DrugBank DB00958; ChEBI:31355; FDA UNII BG3F62OND5"
15,Carmustine,Carmustine,2578,2578,Carmustine,CHEMBL513,CHEMBL513,DLGOEMSEDOSKAD-UHFFFAOYSA-N,DLGOEMSEDOSKAD-UHFFFAOYSA-N,C5H9Cl2N3O2,O=NN(CCCl)C(=O)NCCCl,C(CCl)NC(=O)N(CCCl)N=O,O=NN(CCCl)C(=O)NCCCl,1,1,,False,True,True,,
16,Celecoxib,Celecoxib,2662,2662,Celecoxib,CHEMBL118,CHEMBL118,RZEKVGVHFLEQIL-UHFFFAOYSA-N,RZEKVGVHFLEQIL-UHFFFAOYSA-N,C17H14F3N3O2S,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1,1,,False,True,True,,
17,Chlorambucil,Chlorambucil,2708,2708,Chlorambucil,CHEMBL515,CHEMBL515,JCKYGMPEJWAADB-UHFFFAOYSA-N,JCKYGMPEJWAADB-UHFFFAOYSA-N,C14H19Cl2NO2,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1,1,,False,True,True,,
18,Cisplatin,Cisplatin,5702198,,azane;dichloroplatinum,CHEMBL11359,CHEMBL11359,LXZZYRPGZAFOLE-UHFFFAOYSA-L,,Cl2H6N2Pt,N.N.[Cl][Pt][Cl],N.N.Cl[Pt]Cl,,1,3,,True,True,False,caveat:metal-complex-kept-whole;check:no-chembl-structure,
19,Cladribine,Cladribine,20279,20279,Cladribine,CHEMBL1619,CHEMBL1619,PTOAARAWEBMLNO-KVQBGUIXSA-N,PTOAARAWEBMLNO-KVQBGUIXSA-N,C10H12ClN5O3,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,1,1,,False,True,True,,
20,Clofarabine,Clofarabine,119182,119182,Clofarabine,CHEMBL1750,CHEMBL1750,WDDPHFBMKLOVOX-AYQXTPAHSA-N,WDDPHFBMKLOVOX-AYQXTPAHSA-N,C10H11ClFN5O3,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,1,1,,False,True,True,,
21,Crizotinib,Crizotinib,11626560,11626560,Crizotinib,CHEMBL601719,CHEMBL601719,KTEIFNKAUNYNJU-GFCCVEGCSA-N,KTEIFNKAUNYNJU-GFCCVEGCSA-N,C21H22Cl2FN5O,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,1,1,,False,True,True,,
22,Cyclophosphamide,Cyclophosphamide,2907,2907,Cyclophosphamide,CHEMBL1200796,CHEMBL88,CMSMOCZEIVJLDB-UHFFFAOYSA-N,CMSMOCZEIVJLDB-UHFFFAOYSA-N,C7H15Cl2N2O2P,O=P1(N(CCCl)CCCl)NCCCO1,C1CNP(=O)(OC1)N(CCCl)CCCl,O=P1(N(CCCl)CCCl)NCCCO1,1,1,,False,True,True,,
23,Cytarabine; Ara-C,Cytarabine,6253,6253,Cytarabine,CHEMBL803,CHEMBL803,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,C9H13N3O5,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1,1,,False,True,True,,
