metric,kind,n_null,null_median,null_q025,null_q975,null_min,null_max,real_A375,real_PANC1,pct_A375,pct_PANC1,p_A375,p_PANC1,gap_sd_A375
rank-2 held-out skill @ coverage 0.40,decision,20,-0.0038570337057389006,-0.009041369348532377,-0.0018732904494952198,-0.010512795201149644,-0.001587962025913922,0.1966721144538791,0.1611487130656718,100.0,100.0,0.047619047619047616,0.047619047619047616,96.58866087567033
rank-2 held-out skill @ coverage 0.70,decision,20,-0.001917794943462843,-0.013275105651855499,6.0450582525245806e-05,-0.021425242881056406,7.055353196407099e-05,0.2499626442102741,0.2371834936733592,100.0,100.0,0.047619047619047616,0.047619047619047616,56.980443626899714
rank-2 cyclic share of D² (curl fraction × top-2),decision,20,0.07059257935309575,0.06388659779045487,0.07830295950061834,0.06348287653206318,0.079001796396613,0.15712475453442412,0.19304922450508644,100.0,100.0,0.047619047619047616,0.047619047619047616,19.22332192429874
searched low-rank skill @ coverage 0.40,decision,20,-0.0011296878632080232,-0.01204007142400795,0.0014598934467692378,-0.01304034534747095,0.0024322916668420014,0.2285702914688951,0.1975137448414707,100.0,100.0,0.047619047619047616,0.047619047619047616,53.37592026459138
searched low-rank skill @ coverage 0.70,decision,20,-0.0008133173061583981,-0.006185260607601691,0.0004375352615910377,-0.006695288672137811,0.0006814499949926722,0.3528499899530695,0.3663812382807494,100.0,100.0,0.047619047619047616,0.047619047619047616,177.12241233149595
rank-2 held-out skill @ coverage 0.05,decision,20,-0.03385880138269846,-0.1370077714524001,-0.004518316494241336,-0.1624022825479451,-0.001586277015644566,-0.0513866992227186,-0.0445778076446954,40.0,40.0,0.6190476190476191,0.6190476190476191,-0.46588351787917054
rank-2 held-out skill @ coverage 0.10,decision,20,-0.016797075482861967,-0.05251260243195688,-0.005457645121312876,-0.06662368206171089,-0.0035991471087367666,-0.0316793705761203,-0.0185158681920779,10.0,45.0,0.9047619047619048,0.5714285714285714,-1.1123354463372543
rank-2 held-out skill @ coverage 0.20,decision,20,-0.0051854228240870714,-0.010462668725564846,-0.001372716862923093,-0.011185590125123032,-0.0012335394399317912,-0.0151468571669412,-0.0288729860655067,0.0,0.0,1.0,1.0,-3.488095026915577
cyclic fraction of D  (i.i.d. noise at n=100: 0.980),descriptive,20,0.7876865071954651,0.7620288423257627,0.8093895867186213,0.7618876971969836,0.8114298968814622,0.46177918911506244,0.6017448705922306,,,,,-21.28002589100206
curl energy in top 2  (noise floor 0.075 at k=2),descriptive,20,0.09055506407601449,0.07991836329789306,0.10048365459345997,0.07865216513033352,0.10177367607354061,0.34025949682906353,0.3208157375983771,,,,,41.22421014792374
curl energy in top 4  (noise floor 0.075 at k=2),descriptive,20,0.16937953136143916,0.1521123559311181,0.18145147709901469,0.15079616596822423,0.18621340116697752,0.4932085310430986,0.47636217200324693,,,,,37.87525266363464
curl energy in top 16  (noise floor 0.075 at k=2),descriptive,20,0.5070321025560531,0.4803950490632029,0.5302978843185336,0.4779457175915556,0.5363632749126452,0.8070905087183514,0.7973161693554622,,,,,22.134837768818432
"spread of D (sd, off-diagonal)",descriptive,20,0.0225509226114205,0.02144033181213287,0.024370983522010038,0.02141859469164025,0.024889212523677227,0.2228045962442165,0.16230870528726865,,,,,233.95469131659007
combination selector on-fraction,descriptive,20,0.19923049024512257,0.17986950350175088,0.21911356178089042,0.17813001500750375,0.22412266133066533,0.4916,0.4635,,,,,26.871882949739945
posterior noise fraction of D  (see DECISION),descriptive,20,4.001125200212899,3.6646607691125546,4.188988947246592,3.6208673779458156,4.204955724160346,0.205,0.192,,,,,-24.64276626492335
"rank-2 cyclic energy, absolute (mean D² × curl frac × top-2)",descriptive,20,3.540139179874771e-05,3.105020539513421e-05,4.173319961767832e-05,3.096882569099047e-05,4.252439480717094e-05,0.00772196978868864,0.0050348540165066225,,,,,2427.2907155485814
