block,screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
permute_control,A375,0.1,lowrank,cal_skill,8,0,-0.030966138403742932,0.03338712933948757,-0.058878477044711705,-0.0030537997627741627,1,0.0342429864689068,0.015625,False
permute_control,A375,0.1,mlp,cal_skill,8,0,-0.03697889118542813,0.05452676255359159,-0.08256440546896619,0.00860662309810993,4,0.09658821928799712,0.3828125,True
permute_control,A375,0.4,lowrank,cal_skill,8,0,-0.004295473433922031,0.008080995597646008,-0.011051354821151686,0.0024604079533076233,1,0.176427329678279,0.078125,False
permute_control,A375,0.4,mlp,cal_skill,8,0,-0.006634506902000625,0.011762574001000956,-0.016468264859055122,0.0031992510550538714,1,0.15466795123317992,0.0234375,True
permute_control,A375,0.7,lowrank,cal_skill,8,0,-0.004357211293684646,0.005317055775973129,-0.00880238116387028,8.79585765009884e-05,1,0.05356504017325535,0.0390625,False
permute_control,A375,0.7,mlp,cal_skill,8,0,-0.001664281292112102,0.004450331982045675,-0.005384851937300107,0.0020562893530759025,3,0.32530369896357947,0.3125,True
permute_control,PANC1,0.1,lowrank,cal_skill,8,0,-0.014734137034108419,0.019418685933437638,-0.03096856474501886,0.001500290676802022,1,0.06900994646932171,0.015625,False
permute_control,PANC1,0.1,mlp,cal_skill,8,0,-0.03263454587908425,0.04959023961277067,-0.07409302370399098,0.00882393194582249,1,0.10500426544870432,0.078125,True
permute_control,PANC1,0.4,lowrank,cal_skill,8,0,-0.005329658746932933,0.0053523973897969075,-0.009804374945679404,-0.0008549425481864624,1,0.025906365891507327,0.015625,False
permute_control,PANC1,0.4,mlp,cal_skill,8,0,-0.0033382672209107678,0.005688108622852525,-0.008093645034117844,0.0014171105922963076,1,0.140881841675152,0.015625,True
permute_control,PANC1,0.7,lowrank,cal_skill,8,0,-0.004566394899996162,0.006006770671970992,-0.00958818085319567,0.0004553910532033457,1,0.06859409380018998,0.046875,False
permute_control,PANC1,0.7,mlp,cal_skill,8,0,-0.002852350208173232,0.004551252669072719,-0.006657292659141089,0.000952592242794625,2,0.11957686633623492,0.078125,True
