block,screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
honest_alpha,A375,0.05,lowrank,cal_skill,8,0,-0.012322228485162401,0.017927631268233844,-0.027310103300668888,0.0026656463303440844,0,0.09297641143391479,0.0625,False
honest_alpha,A375,0.05,potential,cal_skill,8,0,-0.010803982771383572,0.028855129835238687,-0.0349274750099848,0.013319509467217654,1,0.3247580769688955,0.125,False
honest_alpha,A375,0.05,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,A375,0.1,lowrank,cal_skill,8,0,-0.008853556973809337,0.03466833155626648,-0.03783700747284364,0.020129893525224964,1,0.49351601737112666,0.75,False
honest_alpha,A375,0.1,potential,cal_skill,8,0,0.008907019506449898,0.021384279105055543,-0.00897068521934561,0.026784724232245406,2,0.2772500857791627,0.5,False
honest_alpha,A375,0.1,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,A375,0.2,lowrank,cal_skill,8,0,0.022002969293189928,0.03905377525414955,-0.010646803887903782,0.05465274247428364,4,0.1550674606728616,0.21875,False
honest_alpha,A375,0.2,potential,cal_skill,8,0,-0.0004263616458811126,0.0007971291157006774,-0.0010927782638470696,0.00024005497208484433,0,0.17408168987313072,0.5,False
honest_alpha,A375,0.2,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,A375,0.4,lowrank,cal_skill,8,0,0.22857029146889515,0.04788051730387918,0.18854117726439876,0.2685994056733916,8,2.870826929953589e-06,0.0078125,False
honest_alpha,A375,0.4,potential,cal_skill,8,0,0.0006837332597423723,0.0024641881579229937,-0.001376379595113429,0.0027438461145981737,3,0.45830420576264,0.6875,False
honest_alpha,A375,0.4,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,A375,0.7,lowrank,cal_skill,8,0,0.3528499899530695,0.04552744436757708,0.3147880939534423,0.39091188595269666,8,1.0380046110772423e-07,0.0078125,False
honest_alpha,A375,0.7,potential,cal_skill,8,0,0.0017080864741913504,0.005680153163186323,-0.0030406404082935984,0.006456813356676299,3,0.42316057099158827,1.0,False
honest_alpha,A375,0.7,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,PANC1,0.05,lowrank,cal_skill,8,0,-0.01996202395958216,0.037466757648747545,-0.05128501721956511,0.011360969300400793,1,0.1755473200120662,0.25,False
honest_alpha,PANC1,0.05,potential,cal_skill,8,0,0.00030927913298063603,0.011692060096028984,-0.009465527724251483,0.010084085990212755,2,0.9424529710446389,1.0,False
honest_alpha,PANC1,0.05,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,PANC1,0.1,lowrank,cal_skill,8,0,-0.01191715413237436,0.02553815309801939,-0.03326758442210119,0.009433276157352472,2,0.22840545737460277,0.4375,False
honest_alpha,PANC1,0.1,potential,cal_skill,8,0,-0.0002298375356181298,0.000642249572157574,-0.0007667716148495925,0.0003070965436133329,1,0.3451481206547906,0.375,False
honest_alpha,PANC1,0.1,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,PANC1,0.2,lowrank,cal_skill,8,0,0.0188699206712334,0.046477352417333084,-0.01998611833161429,0.05772595967408109,5,0.2885487741908247,0.296875,False
honest_alpha,PANC1,0.2,potential,cal_skill,8,0,-0.0006811055296314372,0.0025059296081585023,-0.002776115110183289,0.0014139040509204147,2,0.4671758397433093,0.625,False
honest_alpha,PANC1,0.2,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,PANC1,0.4,lowrank,cal_skill,8,0,0.19751374484147072,0.06019258050040841,0.1471914882162487,0.24783600146669274,8,3.4908410443104754e-05,0.0078125,False
honest_alpha,PANC1,0.4,potential,cal_skill,8,0,-4.4924390750780696e-05,0.001026679190363878,-0.0009032496736968357,0.0008134008921952743,1,0.9049813796036328,1.0,False
honest_alpha,PANC1,0.4,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
honest_alpha,PANC1,0.7,lowrank,cal_skill,8,0,0.3663812382807494,0.05241965233914096,0.32255731222067174,0.4102051643408271,8,2.1178524089576872e-07,0.0078125,False
honest_alpha,PANC1,0.7,potential,cal_skill,8,0,0.0008290946386768083,0.0016831144220193505,-0.0005780242316280678,0.0022362135089816844,5,0.20617944856196646,0.0625,False
honest_alpha,PANC1,0.7,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
