screen,coverage,metric,rung_a,rung_b,n_split_seeds,mean_a,mean_b,delta,ci_lo,ci_hi,p_ttest,n_seeds_favouring_a
A375,0.05,cal_skill,lowrank,potential,8,-0.18788698585982408,-0.008758242828650634,-0.17912874303117343,-0.2482920349534771,-0.10996545110886977,0.0004795091700612534,0
A375,0.1,cal_skill,lowrank,potential,8,-0.057651831511343066,0.005154190014622528,-0.0628060215259656,-0.11030294207935502,-0.015309100972576165,0.01668457042713884,1
A375,0.2,cal_skill,lowrank,potential,8,0.007517657875588266,0.00015454927568749055,0.007363108599900775,-0.03189558381839294,0.04662180101819449,0.6707923800557242,3
A375,0.4,cal_skill,lowrank,potential,8,0.23090814135910487,0.001964905038952164,0.22894323632015268,0.17961971147509165,0.2782667611652137,1.1544271892028613e-05,8
A375,0.7,cal_skill,lowrank,potential,8,0.3680111875514389,0.0018387668747788938,0.36617242067666,0.3373324598387464,0.39501238151457363,1.172601328049824e-08,8
PANC1,0.05,cal_skill,lowrank,potential,8,-0.13897315520890222,-0.006409990885929598,-0.1325631643229726,-0.17348865559209234,-0.09163767305385287,0.00012021513474817972,0
PANC1,0.1,cal_skill,lowrank,potential,8,-0.12033633561216087,0.00042592982036167293,-0.12076226543252254,-0.23709660397646928,-0.004427926888575795,0.043809048654347336,0
PANC1,0.2,cal_skill,lowrank,potential,8,-0.010997939288138775,-0.0005760103412097289,-0.010421928946929046,-0.05839633448771237,0.03755247659385428,0.6232816865439101,4
PANC1,0.4,cal_skill,lowrank,potential,8,0.2228094926781755,-0.001109034761984054,0.22391852744015955,0.19754433392875942,0.2502927209515597,1.904561702424428e-07,8
PANC1,0.7,cal_skill,lowrank,potential,8,0.3741362871707833,0.00170004160155518,0.37243624556922805,0.32866763716524555,0.41620485397321055,1.875211494511772e-07,8
