screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.05,lowrank,cal_mae,8,0,0.14977944382756742,0.010907693726340314,0.14066038366561776,0.15889850398951708,8,1.9528526782578384e-09,0.0078125,False
A375,0.05,mlp,cal_mae,8,0,0.14896869485720338,0.009715730770328385,0.1408461406642873,0.15709124905011945,8,9.049065969839045e-10,0.0078125,True
A375,0.05,mlp_ordered,cal_mae,8,0,0.14607186218671747,0.008551548259376802,0.13892258892955234,0.1532211354438826,8,4.2585478542492785e-10,0.0078125,True
A375,0.05,potential,cal_mae,8,0,0.13779216853744197,0.0079003784106766,0.13118728689732465,0.1443970501775593,8,3.6816522021541757e-10,0.0078125,False
A375,0.05,zero,cal_mae,8,0,0.13585268149656218,0.006294248266120749,0.1305905582601537,0.14111480473297067,8,,,False
A375,0.1,lowrank,cal_mae,8,0,0.13226777481004956,0.006596889434785156,0.12675263722489116,0.13778291239520796,8,1.3906524265649778e-10,0.0078125,False
A375,0.1,mlp,cal_mae,8,0,0.13133160778134975,0.00728444685491751,0.12524165780813895,0.13742155775456055,8,2.920916225260001e-10,0.0078125,True
A375,0.1,mlp_ordered,cal_mae,8,0,0.13084424851933216,0.006835418520623505,0.1251296956279957,0.13655880141066862,8,1.922254345770223e-10,0.0078125,True
A375,0.1,potential,cal_mae,8,0,0.1287514819619061,0.004632460487825249,0.12487864807546123,0.132624315848351,8,1.4185577747960095e-11,0.0078125,False
A375,0.1,zero,cal_mae,8,0,0.12825836792592266,0.004237354499854713,0.12471585091168232,0.131800884940163,8,,,False
A375,0.2,lowrank,cal_mae,8,0,0.12124303456097896,0.004595064953711196,0.11740146412342893,0.12508460499852897,8,2.0403615699264845e-11,0.0078125,False
A375,0.2,mlp,cal_mae,8,0,0.1224622646401964,0.005791572250306009,0.11762038906981051,0.12730414021058228,8,9.591309645783713e-11,0.0078125,True
A375,0.2,mlp_ordered,cal_mae,8,0,0.11927083716885437,0.005736875600443318,0.11447468914209674,0.12406698519561199,8,1.079483240529637e-10,0.0078125,True
A375,0.2,potential,cal_mae,8,0,0.12263368619770962,0.004379818265933308,0.11897206649445341,0.12629530590096583,8,1.3470298749407281e-11,0.0078125,False
A375,0.2,zero,cal_mae,8,0,0.12249480797889727,0.004358763072735361,0.1188507908576635,0.12613882510013102,8,,,False
A375,0.4,lowrank,cal_mae,8,0,0.10241344481796318,0.0039725774497062485,0.09909228695721435,0.105734602678712,8,2.399884470640397e-11,0.0078125,False
A375,0.4,mlp,cal_mae,8,0,0.11085772438795025,0.007618618385399632,0.10448840002384338,0.11722704875205711,8,1.3036456693153297e-09,0.0078125,True
A375,0.4,mlp_ordered,cal_mae,8,0,0.10306496150366037,0.004895827991344663,0.09897194687419587,0.10715797613312487,8,9.892381499147354e-11,0.0078125,True
A375,0.4,potential,cal_mae,8,0,0.11983417783887987,0.004054046315631135,0.1164449103017564,0.12322344537600334,8,9.220699456935022e-12,0.0078125,False
A375,0.4,zero,cal_mae,8,0,0.11963639141921496,0.004132813817351031,0.11618127260270915,0.12309151023572078,8,,,False
A375,0.7,lowrank,cal_mae,8,0,0.09078666572143987,0.0021611820044237684,0.08897987235029196,0.09259345909258777,8,7.88815412949173e-13,0.0078125,False
A375,0.7,mlp,cal_mae,8,0,0.09479019701876754,0.0026339152552901438,0.09258818875954532,0.09699220527798975,8,2.3276427882962905e-12,0.0078125,True
A375,0.7,mlp_ordered,cal_mae,8,0,0.08842157527424306,0.0038358193110432865,0.0852147500786196,0.09162840046986652,8,5.246098108290398e-11,0.0078125,True
A375,0.7,potential,cal_mae,8,0,0.11831683242402338,0.004282804554229781,0.11473631821343627,0.12189734663461049,8,1.4797355117447868e-11,0.0078125,False
A375,0.7,zero,cal_mae,8,0,0.11814811924069098,0.004417030249673491,0.11445538954049263,0.12184084894088933,8,,,False
PANC1,0.05,lowrank,cal_mae,8,0,0.1144044142002294,0.004363341497279913,0.11075656942028828,0.11805225898017052,8,2.132438650804291e-11,0.0078125,False
PANC1,0.05,mlp,cal_mae,8,0,0.1128332377519971,0.008077077440032054,0.10608063202650696,0.11958584347748726,8,1.7323502687720575e-09,0.0078125,True
PANC1,0.05,mlp_ordered,cal_mae,8,0,0.11119876763001492,0.006654210581340789,0.10563570836708422,0.11676182689294562,8,4.962598986697089e-10,0.0078125,True
PANC1,0.05,potential,cal_mae,8,0,0.1074824049268917,0.005083885304977442,0.10323217044876472,0.1117326394050187,8,9.601218837509707e-11,0.0078125,False
PANC1,0.05,zero,cal_mae,8,0,0.105953598146612,0.00519322616977438,0.10161195241792569,0.11029524387529831,8,,,False
PANC1,0.1,lowrank,cal_mae,8,0,0.11006781617189161,0.006236226179215429,0.1048542006140526,0.11528143172973063,8,3.388448193362854e-10,0.0078125,False
PANC1,0.1,mlp,cal_mae,8,0,0.1088111811060476,0.006607966467703619,0.10328678288961979,0.1143355793224754,8,5.500056702563313e-10,0.0078125,True
PANC1,0.1,mlp_ordered,cal_mae,8,0,0.10735838281029905,0.006206885311744717,0.10216929683152431,0.11254746878907379,8,3.9019214475407364e-10,0.0078125,True
PANC1,0.1,potential,cal_mae,8,0,0.10419763172847807,0.004953656978474711,0.10005627085589619,0.10833899260105995,8,9.948723457764087e-11,0.0078125,False
PANC1,0.1,zero,cal_mae,8,0,0.10392488448269596,0.004905616314654217,0.099823686610157,0.10802608235523492,8,,,False
PANC1,0.2,lowrank,cal_mae,8,0,0.102535855735467,0.004857578359417953,0.09847481859853786,0.10659689287239614,8,9.707732956753095e-11,0.0078125,False
PANC1,0.2,mlp,cal_mae,8,0,0.10316090279290493,0.004855186148686525,0.09910186559419622,0.10721993999161365,8,9.272124784320695e-11,0.0078125,True
PANC1,0.2,mlp_ordered,cal_mae,8,0,0.09937916022335877,0.004187042765649325,0.0958787048715176,0.10287961557519994,8,4.277083706569408e-11,0.0078125,True
PANC1,0.2,potential,cal_mae,8,0,0.10205585845300696,0.004504225176353483,0.09829023196984418,0.10582148493616975,8,5.91744674171968e-11,0.0078125,False
PANC1,0.2,zero,cal_mae,8,0,0.10180698916057873,0.004502301543736705,0.0980429708745291,0.10557100744662837,8,,,False
PANC1,0.4,lowrank,cal_mae,8,0,0.08685633323215154,0.0016830305404976274,0.08544928448855377,0.08826338197574932,8,1.8687446180536015e-13,0.0078125,False
PANC1,0.4,mlp,cal_mae,8,0,0.09426868825838397,0.0056009547358192874,0.08958617291813803,0.09895120359862991,8,4.721231262863015e-10,0.0078125,True
PANC1,0.4,mlp_ordered,cal_mae,8,0,0.08719642372235728,0.00419078100720964,0.08369284312236158,0.09070000432235298,8,1.0735101075523873e-10,0.0078125,True
PANC1,0.4,potential,cal_mae,8,0,0.10024914119019421,0.003975330245888277,0.09692568193424422,0.10357260044614419,8,2.799950192556958e-11,0.0078125,False
PANC1,0.4,zero,cal_mae,8,0,0.10001640301637445,0.0041054992838382,0.09658411972134992,0.10344868631139897,8,,,False
PANC1,0.7,lowrank,cal_mae,8,0,0.0766411210805034,0.003367118177436645,0.07382613983856666,0.07945610232244014,8,5.731334862072301e-11,0.0078125,False
PANC1,0.7,mlp,cal_mae,8,0,0.08010391644633011,0.004732479434636822,0.07614746462779137,0.08406036826486885,8,4.5382126580293827e-10,0.0078125,True
PANC1,0.7,mlp_ordered,cal_mae,8,0,0.0750669298534239,0.0041720984378334795,0.07157896827229648,0.07855489143455133,8,2.962473100643282e-10,0.0078125,True
PANC1,0.7,potential,cal_mae,8,0,0.09871912709742503,0.004995202188045738,0.09454303356044828,0.10289522063440178,8,1.5381508386946118e-10,0.0078125,False
PANC1,0.7,zero,cal_mae,8,0,0.09853029373682944,0.00514429202798737,0.09422955797445906,0.10283102949919981,8,,,False
