screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.05,lowrank,cal_pearson,8,0,0.035423363419003505,0.04180679668194466,0.00047200672657818354,0.07037472011142883,7,0.047706833147377295,0.0546875,False
A375,0.05,mlp,cal_pearson,8,0,0.012075877833290482,0.047284346391225654,-0.027454825015360493,0.05160658068194146,5,0.49350019073511103,0.546875,True
A375,0.05,mlp_ordered,cal_pearson,8,0,0.07568212770679948,0.0684282662907232,0.01847466545690578,0.1328895899566932,7,0.016650186966312482,0.0390625,True
A375,0.05,potential,cal_pearson,6,2,-0.01700534127968371,0.049227540458866036,-0.06866647670163925,0.03465579414227182,3,0.436076408719228,0.84375,False
A375,0.05,zero,cal_pearson,0,8,,,,,0,,,False
A375,0.1,lowrank,cal_pearson,8,0,0.016190246130666688,0.07706947564093741,-0.048241447924188385,0.08062194018552177,3,0.5710889461142064,1.0,False
A375,0.1,mlp,cal_pearson,8,0,0.06362630466584476,0.06079468405139602,0.012800676875009562,0.11445193245667996,7,0.021100081999652322,0.0234375,True
A375,0.1,mlp_ordered,cal_pearson,7,1,0.13043453933143986,0.13284579174145222,0.007572673657413376,0.25329640500546635,6,0.04078641705846068,0.046875,True
A375,0.1,potential,cal_pearson,6,2,0.012978210217080477,0.1064546927702737,-0.09873913841022212,0.12469555884438309,2,0.7772390687592386,0.84375,False
A375,0.1,zero,cal_pearson,0,8,,,,,0,,,False
A375,0.2,lowrank,cal_pearson,8,0,0.12722858402813006,0.13567302069478995,0.013803100226584888,0.24065406782967524,7,0.032827964358126134,0.0390625,False
A375,0.2,mlp,cal_pearson,8,0,0.10921720811853484,0.1384554376667317,-0.006534434484251228,0.22496885072132092,6,0.06086875175270985,0.078125,True
A375,0.2,mlp_ordered,cal_pearson,8,0,0.19321984249527394,0.15707134024218433,0.061904915864389065,0.3245347691261588,7,0.010275093589834968,0.015625,True
A375,0.2,potential,cal_pearson,7,1,0.006384005371831744,0.04043661280043564,-0.031013624053034178,0.043781634796697666,3,0.6906999752720921,1.0,False
A375,0.2,zero,cal_pearson,0,8,,,,,0,,,False
A375,0.4,lowrank,cal_pearson,8,0,0.4849143815601425,0.055166109824723066,0.43879435958175167,0.5310344035385334,8,4.343046476290011e-08,0.0078125,False
A375,0.4,mlp,cal_pearson,8,0,0.33935634184999686,0.13948332221908358,0.22274536625642463,0.4559673174435691,8,0.0002352255636626442,0.0078125,True
A375,0.4,mlp_ordered,cal_pearson,8,0,0.4709549544950807,0.0611665389495891,0.41981844822954556,0.5220914607606157,8,1.086181576409119e-07,0.0078125,True
A375,0.4,potential,cal_pearson,8,0,0.02222101223613027,0.060071345700148986,-0.02799988955964527,0.07244191403190581,4,0.33021622269549117,0.3828125,False
A375,0.4,zero,cal_pearson,0,8,,,,,0,,,False
A375,0.7,lowrank,cal_pearson,8,0,0.6077864445392788,0.027995487622272677,0.5843816311758332,0.6311912579027243,8,7.976518877130956e-11,0.0078125,False
A375,0.7,mlp,cal_pearson,8,0,0.562657139688461,0.027664964918090448,0.5395286502207853,0.5857856291561366,8,1.2586619764174998e-10,0.0078125,True
A375,0.7,mlp_ordered,cal_pearson,8,0,0.6067620945735708,0.04912152317212717,0.5656954734993538,0.6478287156477878,8,4.083261265808976e-09,0.0078125,True
A375,0.7,potential,cal_pearson,8,0,0.021713814322769708,0.05230962263107983,-0.022018124599368045,0.06544575324490746,5,0.278753602769429,0.546875,False
A375,0.7,zero,cal_pearson,0,8,,,,,0,,,False
PANC1,0.05,lowrank,cal_pearson,8,0,-0.007636539809980242,0.0485643952017135,-0.04823739024490629,0.03296431062494581,2,0.6699214417519491,0.546875,False
PANC1,0.05,mlp,cal_pearson,8,0,-0.012717107233777794,0.05337888585223166,-0.057342972579527654,0.031908758111972066,4,0.5220274319108129,0.4609375,True
PANC1,0.05,mlp_ordered,cal_pearson,7,1,0.03292733875114454,0.0715991738433413,-0.033290852760954205,0.0991455302632433,4,0.26938875477664576,0.578125,True
PANC1,0.05,potential,cal_pearson,6,2,0.026555630182954232,0.09531046092757446,-0.07346656436935609,0.12657782473526455,5,0.5252627960925724,0.3125,False
PANC1,0.05,zero,cal_pearson,0,8,,,,,0,,,False
PANC1,0.1,lowrank,cal_pearson,8,0,0.0026592344087352027,0.0725005003661656,-0.05795270072600177,0.06327116954347217,4,0.920282712730379,0.9453125,False
PANC1,0.1,mlp,cal_pearson,8,0,0.024826533883975273,0.03195560557965609,-0.0018890209439643528,0.0515420887119149,6,0.06397373225507791,0.078125,True
PANC1,0.1,mlp_ordered,cal_pearson,8,0,0.0920395839704924,0.12233041873332069,-0.010231205442286853,0.19431037338327167,6,0.07087226752409785,0.109375,True
PANC1,0.1,potential,cal_pearson,6,2,0.01201962815167753,0.05020737076364612,-0.04066977611316438,0.06470903241651944,3,0.5830754859302358,0.84375,False
PANC1,0.1,zero,cal_pearson,0,8,,,,,0,,,False
PANC1,0.2,lowrank,cal_pearson,8,0,0.12290338896295419,0.11685547132848588,0.025209770125439138,0.22059700780046926,7,0.02066620647073295,0.0390625,False
PANC1,0.2,mlp,cal_pearson,8,0,0.06198431009625082,0.06510886134745467,0.007551939826290689,0.11641668036621095,6,0.030964825904160845,0.0390625,True
PANC1,0.2,mlp_ordered,cal_pearson,8,0,0.21681982822613693,0.1385606456364063,0.10098022955958072,0.3326594268926931,7,0.003059280379705555,0.015625,True
PANC1,0.2,potential,cal_pearson,6,2,-0.0023431172746853587,0.08964726567989281,-0.096422152898389,0.09173591834901827,3,0.951433071727049,1.0,False
PANC1,0.2,zero,cal_pearson,0,8,,,,,0,,,False
PANC1,0.4,lowrank,cal_pearson,8,0,0.48303930311932636,0.030219932349616056,0.4577748074248128,0.5083037988138399,8,6.768895345651713e-10,0.0078125,False
PANC1,0.4,mlp,cal_pearson,8,0,0.29377761406538383,0.18798258800142412,0.13662023759409495,0.45093499053667274,7,0.0030803819455286264,0.0234375,True
PANC1,0.4,mlp_ordered,cal_pearson,8,0,0.47259536249789236,0.021160922899996805,0.4549043882325018,0.4902863367632829,8,6.544975931932057e-11,0.0078125,True
