screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.05,lowrank,cal_rmse,8,0,0.19999604604699298,0.011830250229226322,0.19010570934724508,0.20988638274674087,8,4.5775953253916195e-10,0.0078125,False
A375,0.05,mlp,cal_rmse,8,0,0.19829634873447927,0.012241004327241843,0.18806261301514526,0.20853008445381327,8,6.165648228656902e-10,0.0078125,True
A375,0.05,mlp_ordered,cal_rmse,8,0,0.1929206441058099,0.009807947490581765,0.1847209948054379,0.20112029340618187,8,1.5896589409775146e-10,0.0078125,True
A375,0.05,potential,cal_rmse,8,0,0.18432887967651063,0.006657602529089042,0.1787629846742973,0.18989477467872395,8,1.4571028601015413e-11,0.0078125,False
A375,0.05,zero,cal_rmse,8,0,0.1835326509959319,0.00638667518262361,0.17819325692360533,0.1888720450682585,8,,,False
A375,0.1,lowrank,cal_rmse,8,0,0.17658542296414886,0.008101355830941468,0.16981251999591496,0.18335832593238277,8,7.757006088752634e-11,0.0078125,False
A375,0.1,mlp,cal_rmse,8,0,0.17481172484656785,0.008348368090037368,0.16783231446183072,0.18179113523130497,8,1.0267951028271882e-10,0.0078125,True
A375,0.1,mlp_ordered,cal_rmse,8,0,0.1749373728462031,0.008484226951377483,0.16784438161099685,0.18203036408140932,8,1.1436417540304448e-10,0.0078125,True
A375,0.1,potential,cal_rmse,8,0,0.17124677296911864,0.0046955335457277035,0.16732120868667613,0.17517233725156114,8,2.1208479472761345e-12,0.0078125,False
A375,0.1,zero,cal_rmse,8,0,0.17172121753424754,0.00555945412026784,0.16707339757686313,0.17636903749163196,8,,,False
A375,0.2,lowrank,cal_rmse,8,0,0.1624053062821391,0.004813315637028288,0.158381273707176,0.16642933885710218,8,3.6545259583054066e-12,0.0078125,False
A375,0.2,mlp,cal_rmse,8,0,0.16337988873793757,0.006402410607605881,0.15802733952111506,0.1687324379547601,8,2.577273017113533e-11,0.0078125,True
A375,0.2,mlp_ordered,cal_rmse,8,0,0.15967039345733458,0.006323625160351033,0.15438371052273708,0.16495707639193208,8,2.7752314410694104e-11,0.0078125,True
A375,0.2,potential,cal_rmse,8,0,0.1630720450531269,0.0043328037706132595,0.15944973045157812,0.16669435965467566,8,1.701580123419372e-12,0.0078125,False
A375,0.2,zero,cal_rmse,8,0,0.1630878413829904,0.00446066621730568,0.159358631100916,0.1668170516650648,8,,,False
A375,0.4,lowrank,cal_rmse,8,0,0.13957844952172074,0.005555996480150567,0.13493352022381383,0.14422337881962766,8,2.8753678743815578e-11,0.0078125,False
A375,0.4,mlp,cal_rmse,8,0,0.14903468093026306,0.008600271301619802,0.14184467419041732,0.1562246876701088,8,3.8512578250675116e-10,0.0078125,True
A375,0.4,mlp_ordered,cal_rmse,8,0,0.14095408091537626,0.006079886315991429,0.13587116875407723,0.14603699307667528,8,5.040655683093136e-11,0.0078125,True
A375,0.4,potential,cal_rmse,8,0,0.15913271095299386,0.0034414141446103717,0.15625561672810717,0.16200980517788055,8,4.029487221282583e-13,0.0078125,False
