screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.05,lowrank,cal_sign_accuracy,8,0,0.5196735858495148,0.04436727812332265,0.4825816131026529,0.5567655585963768,8,5.911459816828307e-09,0.0078125,False
A375,0.05,mlp,cal_sign_accuracy,8,0,0.5122247958940942,0.02233641347723149,0.49355108691295685,0.5308985048752316,8,5.439811918594023e-11,0.0078125,True
A375,0.05,mlp_ordered,cal_sign_accuracy,8,0,0.5441545471480226,0.04925826505763871,0.5029736069966548,0.5853354872993903,8,8.883913801147355e-09,0.0078125,True
A375,0.05,potential,cal_sign_accuracy,6,2,0.5079206522386471,0.06459664231272172,0.440130633578064,0.5757106708992303,6,6.958787384750356e-06,0.03125,False
A375,0.05,zero,cal_sign_accuracy,0,8,,,,,0,,,False
A375,0.1,lowrank,cal_sign_accuracy,8,0,0.5146461775122531,0.05046212049742419,0.47245878902660693,0.5568335659978991,8,1.5482378696034628e-08,0.0078125,False
A375,0.1,mlp,cal_sign_accuracy,8,0,0.536351084924112,0.046987232074040736,0.49706877586074333,0.5756333939874807,8,7.073453018506047e-09,0.0078125,True
A375,0.1,mlp_ordered,cal_sign_accuracy,7,1,0.5731387267079351,0.07413371041081034,0.504576479827456,0.6417009735884142,7,8.877899772351572e-07,0.015625,True
A375,0.1,potential,cal_sign_accuracy,6,2,0.5263913741555507,0.07516209914098956,0.4475135885476009,0.6052691597635005,6,1.2322346420365452e-05,0.03125,False
A375,0.1,zero,cal_sign_accuracy,0,8,,,,,0,,,False
A375,0.2,lowrank,cal_sign_accuracy,8,0,0.5738977486648513,0.08452026751028005,0.5032370367245173,0.6445584606051854,8,2.584863338393152e-07,0.0078125,False
A375,0.2,mlp,cal_sign_accuracy,8,0,0.5785795139828684,0.08099401258971695,0.5108668249311249,0.646292203034612,8,1.8222743983915958e-07,0.0078125,True
A375,0.2,mlp_ordered,cal_sign_accuracy,8,0,0.615943278807576,0.09132676731204298,0.5395921906298997,0.6922943669852524,8,2.7077756801342347e-07,0.0078125,True
A375,0.2,potential,cal_sign_accuracy,7,1,0.5021688117263337,0.033675366204554226,0.4710242924689985,0.5333133309836688,7,1.771736410977742e-08,0.015625,False
A375,0.2,zero,cal_sign_accuracy,0,8,,,,,0,,,False
A375,0.4,lowrank,cal_sign_accuracy,8,0,0.7835913360572133,0.02815140324289462,0.7600561739729189,0.8071264981415077,8,1.4038093691733817e-11,0.0078125,False
A375,0.4,mlp,cal_sign_accuracy,8,0,0.6958058105138825,0.09835658986455148,0.6135776436069647,0.7780339774208003,8,1.9486998857392632e-07,0.0078125,True
A375,0.4,mlp_ordered,cal_sign_accuracy,8,0,0.7789770155733038,0.04524140100278846,0.7411542578111332,0.8167997733354744,8,4.0277085647491714e-10,0.0078125,True
A375,0.4,potential,cal_sign_accuracy,8,0,0.4988662351169181,0.0319490361831231,0.47215617244192254,0.5255762977919136,8,7.969577046594721e-10,0.0078125,False
A375,0.4,zero,cal_sign_accuracy,0,8,,,,,0,,,False
A375,0.7,lowrank,cal_sign_accuracy,8,0,0.8610590004023433,0.01694012787818662,0.8468966990810965,0.87522130172359,8,2.0782086603673997e-13,0.0078125,False
A375,0.7,mlp,cal_sign_accuracy,8,0,0.8426002116691304,0.02049240631082688,0.8254681312587424,0.8597322920795183,8,9.163489890437808e-13,0.0078125,True
A375,0.7,mlp_ordered,cal_sign_accuracy,8,0,0.8559339039145548,0.023823840910352605,0.8360166744799222,0.8758511333491874,8,2.3552960388619367e-12,0.0078125,True
A375,0.7,potential,cal_sign_accuracy,8,0,0.508589674946978,0.030480729900241414,0.4831071470438319,0.5340722028501241,8,5.015625586769652e-10,0.0078125,False
A375,0.7,zero,cal_sign_accuracy,0,8,,,,,0,,,False
PANC1,0.05,lowrank,cal_sign_accuracy,8,0,0.5052691802921521,0.03309403205348554,0.47760187711435387,0.5329364834699503,8,9.321501604980577e-10,0.0078125,False
PANC1,0.05,mlp,cal_sign_accuracy,8,0,0.5016244175814686,0.019061197321083388,0.48568885782973065,0.5175599773332065,8,2.0780442683365035e-11,0.0078125,True
PANC1,0.05,mlp_ordered,cal_sign_accuracy,7,1,0.5367485891987283,0.03983634302248307,0.4999061167258456,0.5735910616716109,7,3.248559419023236e-08,0.015625,True
PANC1,0.05,potential,cal_sign_accuracy,6,2,0.5109132558751285,0.0767884098522461,0.4303287618452415,0.5914977499050155,6,1.5860161280245094e-05,0.03125,False
PANC1,0.05,zero,cal_sign_accuracy,0,8,,,,,0,,,False
PANC1,0.1,lowrank,cal_sign_accuracy,8,0,0.49295225401170395,0.033480065725421004,0.4649622186077142,0.5209422894156938,8,1.2005705180511664e-09,0.0078125,False
PANC1,0.1,mlp,cal_sign_accuracy,8,0,0.5107818439357077,0.020975117283255025,0.49324620705326955,0.5283174808181459,8,3.574791157451626e-11,0.0078125,True
PANC1,0.1,mlp_ordered,cal_sign_accuracy,8,0,0.5325382942691477,0.06741532220189227,0.4761776744699578,0.5888989140683376,8,9.09907717044512e-08,0.0078125,True
PANC1,0.1,potential,cal_sign_accuracy,6,2,0.5118232917834475,0.03863291413289642,0.4712805348193448,0.5523660487475504,6,5.220408810055668e-07,0.03125,False
PANC1,0.1,zero,cal_sign_accuracy,0,8,,,,,0,,,False
PANC1,0.2,lowrank,cal_sign_accuracy,8,0,0.5585943715901318,0.06085365422520019,0.5077194435002442,0.6094692996800194,8,3.216110095563978e-08,0.0078125,False
PANC1,0.2,mlp,cal_sign_accuracy,8,0,0.5441103755495037,0.027714307546286485,0.520940634612328,0.5672801164866794,8,1.610703587010926e-10,0.0078125,True
PANC1,0.2,mlp_ordered,cal_sign_accuracy,8,0,0.6108799499452979,0.08673753779200571,0.5383655536605334,0.6833943462300625,8,2.009498330498521e-07,0.0078125,True
PANC1,0.2,potential,cal_sign_accuracy,6,2,0.5024616807577734,0.0590281028213897,0.44051548590156236,0.5644078756139845,6,4.6996034276313586e-06,0.03125,False
PANC1,0.2,zero,cal_sign_accuracy,0,8,,,,,0,,,False
PANC1,0.4,lowrank,cal_sign_accuracy,8,0,0.762842293116948,0.029647923133844546,0.7380560090941845,0.7876285771397115,8,2.43272051558524e-11,0.0078125,False
PANC1,0.4,mlp,cal_sign_accuracy,8,0,0.6499235299894489,0.10485424640223283,0.5622631862754655,0.7375838737034324,8,4.837186741947903e-07,0.0078125,True
PANC1,0.4,mlp_ordered,cal_sign_accuracy,8,0,0.7707275876166355,0.014161079350948434,0.7588886290063841,0.7825665462268869,8,1.288040004493861e-13,0.0078125,True
PANC1,0.4,potential,cal_sign_accuracy,8,0,0.4927328890428301,0.033195826656830636,0.4649804834469264,0.5204852946387337,8,1.1347709297114494e-09,0.0078125,False
PANC1,0.4,zero,cal_sign_accuracy,0,8,,,,,0,,,False
PANC1,0.7,lowrank,cal_sign_accuracy,8,0,0.8478896775491126,0.02680328338383803,0.825481571871854,0.8702977832263712,8,5.737462767005142e-12,0.0078125,False
PANC1,0.7,mlp,cal_sign_accuracy,8,0,0.8331231350829684,0.02730078379448934,0.810299108653886,0.8559471615120509,8,7.37823965466517e-12,0.0078125,True
PANC1,0.7,mlp_ordered,cal_sign_accuracy,8,0,0.8547510999655139,0.023184534546750086,0.835368344026184,0.8741338559048438,8,1.9660823327202436e-12,0.0078125,True
PANC1,0.7,potential,cal_sign_accuracy,8,0,0.5226610857829621,0.02661097822612215,0.5004137512408913,0.544908420325033,8,1.6061409366254107e-10,0.0078125,False
PANC1,0.7,zero,cal_sign_accuracy,0,8,,,,,0,,,False
