screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.05,lowrank,cal_skill,8,0,-0.18788698585982408,0.08738641509660662,-0.2609438571468057,-0.1148301145728425,0,0.0005002160410851396,0.0078125,False
A375,0.05,mlp,cal_skill,8,0,-0.1703602019508516,0.12298985692967487,-0.2731822954923047,-0.06753810840939851,0,0.005765211337045401,0.0078125,True
A375,0.05,mlp_ordered,cal_skill,8,0,-0.10699739333835603,0.09397882925037215,-0.18556566078193343,-0.02842912589477864,0,0.01464854357415547,0.0078125,True
A375,0.05,potential,cal_skill,8,0,-0.008758242828650634,0.018906636803548624,-0.024564586754071572,0.007048101096770305,1,0.23147151485433054,0.0625,False
A375,0.05,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
A375,0.1,lowrank,cal_skill,8,0,-0.057651831511343066,0.054118239201778856,-0.10289581172579139,-0.012407851296894742,1,0.01957601738624558,0.015625,False
A375,0.1,mlp,cal_skill,8,0,-0.03748027501776048,0.0761846969130943,-0.1011722755451258,0.026211725509604836,4,0.2066951313143138,0.4609375,True
A375,0.1,mlp_ordered,cal_skill,8,0,-0.042177217790397084,0.11548357234391048,-0.13872390037444454,0.054369464793650374,3,0.3359646790787019,0.578125,True
A375,0.1,potential,cal_skill,8,0,0.005154190014622528,0.015768582262985317,-0.008028674661672373,0.01833705469091743,2,0.3859808348546842,1.0,False
A375,0.1,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
A375,0.2,lowrank,cal_skill,8,0,0.007517657875588266,0.045992671224054094,-0.030933177509357736,0.04596849326053427,4,0.6578809691680078,0.84375,False
A375,0.2,mlp,cal_skill,8,0,-0.0042745322945133835,0.05568738806400231,-0.05083035378693197,0.042281289197905206,3,0.8343160831037483,0.7421875,True
A375,0.2,mlp_ordered,cal_skill,8,0,0.040509259531422606,0.0594204741213991,-0.00916750000722387,0.09018601907006908,5,0.09516726320912088,0.1953125,True
A375,0.2,potential,cal_skill,8,0,0.00015454927568749055,0.0027433345825640843,-0.0021389358303663944,0.0024480343817413755,2,0.8778987105648689,0.8125,False
A375,0.2,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
A375,0.4,lowrank,cal_skill,8,0,0.23090814135910487,0.06103652584131337,0.17988032877217439,0.2819359539460353,8,1.3670583525540606e-05,0.0078125,False
A375,0.4,mlp,cal_skill,8,0,0.12349965060425976,0.08191435138682926,0.055017539063142745,0.19198176214537677,7,0.003726636713084125,0.015625,True
A375,0.4,mlp_ordered,cal_skill,8,0,0.2157623552180788,0.062345459187918645,0.16364024696836751,0.2678844634677901,8,2.4627715401472098e-05,0.0078125,True
A375,0.4,potential,cal_skill,8,0,0.001964905038952164,0.00482480282570052,-0.0020687310660716194,0.005998541143975947,4,0.28718830591290306,0.4609375,False
A375,0.4,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
A375,0.7,lowrank,cal_skill,8,0,0.3680111875514389,0.031899232425076154,0.3413427618601464,0.39467961324273143,8,6.569623567106138e-09,0.0078125,False
A375,0.7,mlp,cal_skill,8,0,0.30864258632866404,0.03788051521367591,0.2769736830879184,0.34031148956940965,8,7.344900436623554e-08,0.0078125,True
A375,0.7,mlp_ordered,cal_skill,8,0,0.3587675142629386,0.06515685257289323,0.3042950223244572,0.41324000620142004,8,1.087766804861544e-06,0.0078125,True
A375,0.7,potential,cal_skill,8,0,0.0018387668747788938,0.005713564494860854,-0.0029378925800054726,0.00661542632956326,5,0.39295038811414607,0.7421875,False
A375,0.7,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
PANC1,0.05,lowrank,cal_skill,8,0,-0.13897315520890222,0.03208931469074212,-0.16580049365112226,-0.11214581676668216,0,5.537728704894034e-06,0.0078125,False
PANC1,0.05,mlp,cal_skill,8,0,-0.09947173434318242,0.12399759488436926,-0.20313631789828035,0.004192849211915525,1,0.057563671021146935,0.0234375,True
PANC1,0.05,mlp_ordered,cal_skill,8,0,-0.06356113387739139,0.1100523980357874,-0.1555672411108302,0.028444973356047412,2,0.1463671623868973,0.15625,True
PANC1,0.05,potential,cal_skill,8,0,-0.006409990885929598,0.022558762703191126,-0.025269588471877394,0.012449606700018198,3,0.4480049450886216,0.6875,False
PANC1,0.05,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
PANC1,0.1,lowrank,cal_skill,8,0,-0.12033633561216087,0.13893822381064433,-0.23649159753193083,-0.004181073692390902,0,0.044124069293334026,0.0078125,False
PANC1,0.1,mlp,cal_skill,8,0,-0.07551161047975263,0.04798785621776726,-0.11563046226196448,-0.035392758697540785,0,0.00296916919506512,0.0078125,True
PANC1,0.1,mlp_ordered,cal_skill,8,0,-0.03900981919923033,0.03844441504909199,-0.07115015450008735,-0.006869483898373302,1,0.023991151623454946,0.015625,True
PANC1,0.1,potential,cal_skill,8,0,0.00042592982036167293,0.002622319845146732,-0.0017663844333857793,0.002618244074109125,2,0.6598685937607786,1.0,False
PANC1,0.1,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
PANC1,0.2,lowrank,cal_skill,8,0,-0.010997939288138775,0.058885493338692994,-0.060227443699773106,0.038231565123495556,4,0.6136460469001235,0.84375,False
PANC1,0.2,mlp,cal_skill,8,0,-0.03109173894508696,0.0367917709655156,-0.061850429216066566,-0.0003330486741073592,1,0.048152675140005305,0.0390625,True
PANC1,0.2,mlp_ordered,cal_skill,8,0,0.05240090726002064,0.04552707703445313,0.014339318358570281,0.090462496161471,7,0.01395137005237263,0.015625,True
PANC1,0.2,potential,cal_skill,8,0,-0.0005760103412097289,0.0036185467254678094,-0.0036011911095955003,0.0024491704271760424,3,0.6661527852749867,1.0,False
PANC1,0.2,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
PANC1,0.4,lowrank,cal_skill,8,0,0.2228094926781755,0.030396549316445698,0.19739734150427762,0.2482216438520734,8,1.5253331869678529e-07,0.0078125,False
PANC1,0.4,mlp,cal_skill,8,0,0.10723874739185843,0.07439972818969341,0.04503901806171094,0.1694384767220059,6,0.004708315986796127,0.0390625,True
PANC1,0.4,mlp_ordered,cal_skill,8,0,0.21706615855139808,0.02387983441574151,0.19710211737478495,0.2370301997280112,8,3.4419142978611665e-08,0.0078125,True
PANC1,0.4,potential,cal_skill,8,0,-0.001109034761984054,0.0036623761978178742,-0.004170857886238471,0.0019527883622703626,4,0.420072358810903,1.0,False
PANC1,0.4,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
PANC1,0.7,lowrank,cal_skill,8,0,0.3741362871707833,0.052178297818807826,0.330514138539234,0.4177584358023326,8,1.7757247310307294e-07,0.0078125,False
PANC1,0.7,mlp,cal_skill,8,0,0.3133027597824869,0.06723240641622243,0.2570950614070133,0.36951045815796046,8,3.379604019691934e-06,0.0078125,True
PANC1,0.7,mlp_ordered,cal_skill,8,0,0.3627220528076443,0.07208617234628249,0.302456504565947,0.4229876010493416,8,2.0090230134736745e-06,0.0078125,True
PANC1,0.7,potential,cal_skill,8,0,0.00170004160155518,0.003721718702722037,-0.0014113930983410306,0.00481147630145139,7,0.23737523811141184,0.078125,False
PANC1,0.7,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
