screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.05,lowrank,cal_spearman,8,0,0.024395819488209004,0.040605599178439894,-0.009551310960276959,0.05834294993669496,6,0.1330608789975197,0.1953125,False
A375,0.05,mlp,cal_spearman,8,0,0.0037730502246454507,0.03628909725070337,-0.026565394303997795,0.034111494753288694,4,0.7772276053925448,0.84375,True
A375,0.05,mlp_ordered,cal_spearman,8,0,0.036761178102263536,0.05628457378538349,-0.010293903147328247,0.08381625935185533,5,0.10718582891101722,0.109375,True
A375,0.05,potential,cal_spearman,6,2,-0.05755176811616275,0.045745519387119155,-0.1055587465265583,-0.0095447897057672,1,0.027417644814374253,0.0625,False
A375,0.05,zero,cal_spearman,0,8,,,,,0,,,False
A375,0.1,lowrank,cal_spearman,8,0,0.021125742410117464,0.07644840204484112,-0.042786721124529296,0.08503820594476422,4,0.4600598682353116,1.0,False
A375,0.1,mlp,cal_spearman,8,0,0.05484232040189711,0.06433677289354733,0.001055432232752257,0.10862920857104197,7,0.046703698371979394,0.078125,True
A375,0.1,mlp_ordered,cal_spearman,7,1,0.11585612872622379,0.11929064129004567,0.005530686314992067,0.22618157113745552,6,0.04235909914510368,0.046875,True
A375,0.1,potential,cal_spearman,6,2,-0.02322764232830921,0.06372173471168013,-0.09009950177074341,0.043644217114125,1,0.41282782096020476,0.4375,False
A375,0.1,zero,cal_spearman,0,8,,,,,0,,,False
A375,0.2,lowrank,cal_spearman,8,0,0.13239533369898054,0.14258124632782154,0.013194428736882313,0.2515962386610788,7,0.034092197354351254,0.0546875,False
A375,0.2,mlp,cal_spearman,8,0,0.1110434932165535,0.1301979462441875,0.002195286203192273,0.21989170022991472,7,0.04661525312185371,0.0390625,True
A375,0.2,mlp_ordered,cal_spearman,8,0,0.1759601406571687,0.1721741840507127,0.032018920626248365,0.31990136068808905,7,0.023295569458037343,0.0390625,True
A375,0.2,potential,cal_spearman,7,1,-0.019435672548433335,0.04289817206320424,-0.0591098645917037,0.02023851949483703,2,0.2758369011254655,0.21875,False
A375,0.2,zero,cal_spearman,0,8,,,,,0,,,False
A375,0.4,lowrank,cal_spearman,8,0,0.49806118631293567,0.04550553612792824,0.46001760606001096,0.5361047665658604,8,9.47539226680136e-09,0.0078125,False
