screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
A375,0.05,lowrank,heldout_skill,8,0,-0.25582707604387733,0.12555971426389206,-0.36079762408233956,-0.1508565280054151,0,0.0006892243700316913,0.0078125,False
A375,0.05,mlp,heldout_skill,8,0,-0.22860013992937944,0.11877349073671566,-0.3278972631202664,-0.12930301673849248,0,0.000962339635466434,0.0078125,True
A375,0.05,mlp_ordered,heldout_skill,8,0,-0.18620660864313163,0.156571888708057,-0.317103983342146,-0.05530923394411724,0,0.012022208993327637,0.0078125,True
A375,0.05,potential,heldout_skill,8,0,-0.011765156488891884,0.02529606414517177,-0.03291319534914268,0.009382882371358908,1,0.22979044875417445,0.015625,False
A375,0.05,zero,heldout_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
A375,0.1,lowrank,heldout_skill,8,0,-0.06647322120578031,0.058470874107363534,-0.11535609526551319,-0.017590347146047437,1,0.01474458558034807,0.015625,False
A375,0.1,mlp,heldout_skill,8,0,-0.07093608047147651,0.09204939244523344,-0.14789129837899556,0.006019137436042529,4,0.0656724530641026,0.3125,True
A375,0.1,mlp_ordered,heldout_skill,8,0,-0.10883712886087016,0.155561931317427,-0.2388901580513633,0.021215900329622978,2,0.08832793435894119,0.1484375,True
A375,0.1,potential,heldout_skill,8,0,0.00458529631377913,0.016020793206372917,-0.008808421987851771,0.01797901461541003,2,0.4448567156833726,0.546875,False
A375,0.1,zero,heldout_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
A375,0.2,lowrank,heldout_skill,8,0,-0.047669267018235525,0.08213741924657626,-0.11633786795704418,0.020999333920573127,1,0.14469677032978176,0.0546875,False
A375,0.2,mlp,heldout_skill,8,0,-0.09937089106109998,0.13371195797932836,-0.21115688540389127,0.01241510328169132,1,0.0736527234589522,0.015625,True
A375,0.2,mlp_ordered,heldout_skill,8,0,-0.049571453541045474,0.10530565819091148,-0.13760918695463464,0.03846627987254368,3,0.22476251550838922,0.3828125,True
A375,0.2,potential,heldout_skill,8,0,2.956105867908676e-05,0.0027739887960343042,-0.0022895516111720053,0.002348673728530179,2,0.976795820791947,0.640625,False
A375,0.2,zero,heldout_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
