block,screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
titration_lam3,A375,0.7,lowrank,cal_skill,8,0,0.36852765583207303,0.03177631008659952,0.3419619957874826,0.39509331587666346,8,6.333329581690962e-09,0.0078125,False
titration_lam3,A375,0.7,potential,cal_skill,8,0,-0.0003600819678753059,0.0021865662034834844,-0.0021880970605159472,0.0014679331247653353,4,0.6555160633125391,0.8125,False
titration_lam3,PANC1,0.7,lowrank,cal_skill,8,0,0.37316139328643827,0.053403984243580775,0.3285145451604213,0.41780824141245526,8,2.1217552193877455e-07,0.0078125,False
titration_lam3,PANC1,0.7,potential,cal_skill,8,0,0.0003030940313100555,0.002468971543314285,-0.0017610178338090831,0.002367205896429194,4,0.7386303818726363,0.7421875,False
titration_lam30,A375,0.7,lowrank,cal_skill,8,0,0.3802356690764363,0.034347402312154815,0.35152052213984214,0.40895081601303046,8,8.754557092731123e-09,0.0078125,False
titration_lam30,A375,0.7,potential,cal_skill,8,0,0.09806062556075848,0.018382794582966912,0.08269222469137683,0.11342902643014013,8,1.3503445904335271e-06,0.0078125,False
titration_lam30,PANC1,0.7,lowrank,cal_skill,8,0,0.3922934404293427,0.04684359840924492,0.3531312121147937,0.43145566874389174,8,6.074067643060947e-08,0.0078125,False
titration_lam30,PANC1,0.7,potential,cal_skill,8,0,0.05790228929482548,0.015248968313194326,0.0451538327517265,0.07065074583792447,8,1.3338917690945699e-05,0.0078125,False
titration_lam300,A375,0.7,lowrank,cal_skill,8,0,0.5845030584439332,0.02903186078147075,0.5602318154367826,0.6087743014510839,8,1.3510246438114635e-10,0.0078125,False
titration_lam300,A375,0.7,potential,cal_skill,8,0,0.4226756639848821,0.025163229620583257,0.40163867756630206,0.44371265040346214,8,4.787297779474206e-10,0.0078125,False
titration_lam300,PANC1,0.7,lowrank,cal_skill,8,0,0.5150751921470289,0.025746306809938977,0.4935507409992224,0.5365996432948354,8,1.4122762335246318e-10,0.0078125,False
titration_lam300,PANC1,0.7,potential,cal_skill,8,0,0.2932375227405303,0.023164557504430687,0.2738714680265317,0.3126035774545289,8,3.4421797747159132e-09,0.0078125,False
