tag,screen,representation,coverage,fold_key,mse_better,mse_base,skill_better,skill_base,incremental_skill,better,base
primary,A375,ecfp4,1.0,p0f0,0.04304237954089961,0.043042607509960806,0.08820544706085565,0.08820061784484912,5.296358059792006e-06,lowrank,potential
primary,A375,ecfp4,1.0,p0f2,0.040902594079792055,0.04251637623990122,0.3445361444007188,0.31867529374907066,0.03795671933570488,lowrank,potential
primary,A375,ecfp4,1.0,p0f1,0.040351286110044356,0.04181854622469413,0.2661556834814275,0.2394715155207413,0.03508634917067843,lowrank,potential
primary,A375,ecfp4,1.0,p0f4,0.033984581824930624,0.03398464806963637,0.20482212498186747,0.2048205749753198,1.949253839894638e-06,lowrank,potential
primary,A375,ecfp4,1.0,p0f3,0.0393156536626269,0.03912189396492586,0.20919969149604345,0.21309699993284215,-0.004952717725648759,lowrank,potential
primary,A375,ecfp4,1.0,p0f5,0.04202984361151554,0.04281195747783733,0.33063789360292595,0.3181820446151824,0.018268584582395553,lowrank,potential
primary,A375,ecfp4,1.0,p0f6,0.02554070929175395,0.02670950071102536,0.21397952822181632,0.1780097369254322,0.04375938853806238,lowrank,potential
primary,A375,ecfp4,1.0,p0f8,0.033980686313577965,0.03390633536334151,0.2211272450746855,0.22283144636442942,-0.002192833564574448,lowrank,potential
primary,A375,ecfp4,1.0,p0f9,0.03567960836146675,0.036868107931329476,0.1207814145198719,0.09149435228330949,0.03223652193045623,lowrank,potential
primary,A375,ecfp4,1.0,p1f0,0.036918073012169636,0.03692991966660675,0.16158842640459115,0.16131938819706648,0.00032078744129582226,lowrank,potential
primary,A375,ecfp4,1.0,p0f7,0.04316146115905584,0.04850958578896483,0.19750882253983204,0.09807236426879617,0.11024882078307918,lowrank,potential
primary,A375,ecfp4,1.0,p1f1,0.027132354284963318,0.030537335457476205,0.2751954120713156,0.18423589010252495,0.11150223559139227,lowrank,potential
primary,A375,ecfp4,1.0,p1f2,0.04026508540941509,0.04026502366120794,0.3290025048069688,0.3290035338099352,-1.533544539134013e-06,lowrank,potential
primary,A375,ecfp4,1.0,p1f3,0.03835858566650307,0.04773436102492269,0.1973636596724665,0.0011797313378367758,0.19641564602748984,lowrank,potential
primary,A375,ecfp4,1.0,p1f5,0.05875896252833777,0.05984861397123141,0.14542376730704853,0.1295761385377795,0.018206794954640504,lowrank,potential
primary,A375,ecfp4,1.0,p1f4,0.02498387020086974,0.025845930746656677,0.3720661470483829,0.35039948789424114,0.0333538209258899,lowrank,potential
primary,A375,ecfp4,1.0,p1f6,0.048350939276909366,0.050781372673982174,0.22461277609325114,0.18563675964290438,0.04786072666204311,lowrank,potential
primary,A375,ecfp4,1.0,p1f7,0.027467244983069072,0.02822393505826186,0.2982720802388358,0.278940306968664,0.02681022591749782,lowrank,potential
primary,A375,ecfp4,1.0,p1f8,0.04164068800430194,0.04261083394534435,0.05593835618549625,0.0339435809851959,0.02276758869086648,lowrank,potential
primary,A375,ecfp4,1.0,p1f9,0.04034916563114756,0.04034932980624662,0.22205317182491646,0.2220500064683203,4.068843270865763e-06,lowrank,potential
primary,A375,ecfp4,1.0,p2f1,0.02923579872341442,0.02869567704756293,0.16498036130024263,0.18040707191931016,-0.018822405721818036,lowrank,potential
primary,A375,ecfp4,1.0,p2f0,0.038999961458134766,0.04376567826336185,0.31375432458808217,0.22989648407878538,0.10889164738974633,lowrank,potential
primary,A375,ecfp4,1.0,p2f2,0.04178357496366597,0.03771527626572583,0.10868294847945925,0.19546690613042783,-0.10786872325358665,lowrank,potential
primary,A375,ecfp4,1.0,p2f3,0.05248701030412396,0.05760399924964692,0.25640464601968216,0.1839111055377135,0.0888304460137691,lowrank,potential
primary,A375,ecfp4,1.0,p2f4,0.053853595647742905,0.057769890080654356,0.20801151652001315,0.1504172175418974,0.06779127374907223,lowrank,potential
primary,A375,ecfp4,1.0,p2f5,0.02659456659259454,0.025775355611492745,0.3469520837096438,0.36706837409354787,-0.03178272274685989,lowrank,potential
primary,A375,ecfp4,1.0,p2f8,0.03580095704783617,0.035801032429660484,0.05573114285008507,0.05572915461527328,2.1055768284483634e-06,lowrank,potential
