screen,model,drug,label,n_folds,n_pairs,mse,mse_zero,skill,pearson,max_sim_to_train,median_sim_to_train,bits_set,stratum
A375,antisym_mlp,0,Allopurinol,3,270,0.029349341262417183,0.03958927327852521,0.2579156954110656,0.6668888530773964,0.29411764705882354,0.06452228327228328,24,medium
A375,antisym_mlp,1,Altretamine,3,270,0.02521795184402767,0.05818006593909338,0.562228314931316,0.779787420688895,0.15,0.044741180177612826,11,low
A375,antisym_mlp,2,Amifostine,3,270,0.0289409562827268,0.023152876388547943,-0.2531903620599752,0.29336761191148436,0.1574074074074074,0.04659934817474234,25,low
A375,antisym_mlp,3,Aminolevulinic Acid,3,270,0.025408497655987433,0.035611709419874044,0.28731741275055106,0.6069873636358207,0.20512820512820515,0.049533947104918714,16,low
A375,antisym_mlp,4,Anastrozole,3,270,0.016606863046864873,0.017646152333121983,0.05877800567633651,0.4343816362636235,0.26,0.06361016766886678,34,medium
A375,antisym_mlp,5,Arsenic Trioxide,3,270,0.018240777934896493,0.032269243400325505,0.4336479602602334,0.5732898589609255,0.0,0.0,2,low
A375,antisym_mlp,6,Axitinib,3,270,0.022448631199118132,0.03414742883096938,0.34085263151172424,0.7054068749785568,0.2122329362828512,0.08434343459524458,52,low
A375,antisym_mlp,7,Azacitidine,3,270,0.019631738603441678,0.019903949595805107,0.01070085247164169,0.44003169364932254,0.6444444444444445,0.09173683678469706,37,high
A375,antisym_mlp,8,Bendamustine HCl,3,270,0.016070940168372246,0.02748869413851927,0.4207531798654148,0.7290377819837621,0.52,0.1007042290041646,45,high
A375,antisym_mlp,9,Bleomycin,3,270,0.09960902272996668,0.07334021664103064,-0.35822737605468413,0.3779456666168073,0.14039938556067588,0.06967887619656707,139,low
A375,antisym_mlp,10,Bortezomib,3,270,0.04908132235639052,0.054377065665551595,0.09691909834130696,0.3725709928307109,0.3176470588235294,0.08824003031164157,50,medium
A375,antisym_mlp,11,Busulfan,3,270,0.05509006572834576,0.09062810494854164,0.3932033164505831,0.6771847029826451,0.11159045153868279,0.04225389866930251,15,low
A375,antisym_mlp,12,Cabazitaxel,3,270,0.21345441831672698,0.18811202773242686,-0.13516218922516243,0.12189215936256263,0.7920792079207922,0.0835825462699949,92,high
A375,antisym_mlp,13,Capecitabine,3,270,0.017600434689932592,0.02606736599953306,0.32289080754723454,0.5848144173018328,0.2857142857142857,0.10896409743125897,53,medium
A375,antisym_mlp,14,Carboplatin,3,270,0.01212634387055784,0.028369419054141826,0.5717339739398529,0.7594382906557078,0.19576719576719573,0.04949875705374901,17,low
A375,antisym_mlp,15,Carmustine,3,270,0.01686964816713966,0.028998579936517384,0.39105608467365033,0.6138191255774191,0.5277777777777778,0.04744337395662999,25,high
A375,antisym_mlp,16,Celecoxib,3,270,0.010603100015438153,0.02959372113405995,0.636020613603515,0.7970643040960451,0.1744507870610621,0.07483050875635489,40,low
A375,antisym_mlp,17,Chlorambucil,3,270,0.010298554697394746,0.01325434965445005,0.23321231075391843,0.5620579788154468,0.5365853658536586,0.0772604588394062,31,high
A375,antisym_mlp,18,Cisplatin,3,270,0.01173804777834189,0.020811174368276755,0.43835820872083947,0.6474787174098434,0.057539682539682536,0.0,5,low
A375,antisym_mlp,19,Cladribine,3,270,0.03394553845942896,0.051932218448724865,0.34248293705222754,0.6038782635869803,0.6008004574042309,0.08475719323824414,44,high
A375,antisym_mlp,20,Clofarabine,3,270,0.06693438225658137,0.10900759941306341,0.38590687293300263,0.7335018574763955,0.5787878787878787,0.07585265922212647,45,high
A375,antisym_mlp,21,Crizotinib,3,270,0.01292746064142355,0.022006322173572318,0.4110028450474796,0.6358250082623021,0.1854901960784314,0.08873831713853586,60,low
A375,antisym_mlp,22,Cyclophosphamide,3,270,0.026929020363504533,0.04460610117367092,0.3982220102264116,0.6863917850521565,0.26988636363636365,0.04495492294710663,27,medium
A375,antisym_mlp,23,Cytarabine; Ara-C,3,270,0.03926621981771698,0.0973304424264025,0.5965578767266398,0.7930690209195442,0.6310185185185185,0.09464066016504126,37,high
