role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,5,18,True,0.0956853034651541,0.0882157973867378,0.0780632532679012,0.3973973354493236,test_e1a,primary,p0f4,0.5714285714285714,0.0432300442819494,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,12,22,True,0.0372813075939049,0.0376485838403972,-0.0098514851059667,0.0,test_e1a,primary,p0f4,0.3636363636363636,0.1038883477136722,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,16,27,True,0.0311352838510856,0.0309994149993898,0.0043638224833802,0.18445935154181,test_e1a,primary,p0f4,0.2790697674418604,-0.2560806694825916,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,18,75,True,0.0463759420906376,0.0620774190769236,-0.3385694452438039,0.3194619056256096,test_e1a,primary,p0f4,0.4418604651162791,0.1620012646094965,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,22,35,True,0.0305322877293735,0.0484107587448632,-0.5855594960311394,0.2963352803041534,test_e1a,primary,p0f4,0.6274509803921569,-0.0728679116691148,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,26,44,True,0.0399575012903343,0.0373785187250595,0.0645431391351452,0.4046856987825914,test_e1a,primary,p0f4,0.4651162790697674,0.3012368292723372,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,27,39,True,0.0939019488398163,0.1276807664904509,-0.3597243514962236,0.127899348869709,test_e1a,primary,p0f4,0.4318181818181818,0.0151640492182526,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,32,31,True,0.0159368059638325,0.0162707796310229,-0.020956123074366,0.295668413591474,test_e1a,primary,p0f4,0.4318181818181818,-0.025612321051643,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,48,6,True,0.285615851254683,0.3068161890725736,-0.0742267550094277,0.3396707979794554,test_e1a,primary,p0f4,0.3720930232558139,-0.0167746103238122,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,52,39,True,0.0298129355356126,0.0409269495125997,-0.3727916683585552,0.3763343529843739,test_e1a,primary,p0f4,0.6041666666666666,0.0517802946656392,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,54,5,True,0.0008540326996121,0.0014475879386351,-0.6950029422673158,0.1768615277554731,test_e1a,primary,p0f4,0.6888888888888889,-0.3547857746223308,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,56,35,True,0.0179301590721837,0.015669184181958,0.1260989866918329,0.2481720204436681,test_e1a,primary,p0f4,0.5833333333333334,0.2122179127867749,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,57,2,False,0.3775995272088033,0.3574908335107147,0.0532540224473557,0.6262137654188065,test_e1a,primary,p0f4,0.5,0.0226859363461763,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,65,6,True,0.0114272334552209,0.010515697756435,0.0797687123797596,0.1871001915195884,test_e1a,primary,p0f4,0.6909090909090909,0.4176470459448567,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,71,49,True,0.0399691689993494,0.044084586170584,-0.1029647919700689,0.2775067953295588,test_e1a,primary,p0f4,0.36,0.1531343111593579,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,77,23,True,0.0707456733603409,0.0717293124675322,-0.0139038765265708,0.3537138258435559,test_e1a,primary,p0f4,0.36,0.0523996789261519,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,80,18,True,0.0909486600328523,0.0817778218327607,0.100835330578581,0.3943172312029103,test_e1a,primary,p0f4,0.4927536231884058,0.0953154436897808,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,84,9,True,0.1602293668642376,0.0935808804316069,0.4159567483600056,0.3600149684388136,test_e1a,primary,p0f4,0.6585365853658537,0.3953010566977847,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,87,31,True,0.0775214658369846,0.0724989104960838,0.0647892204652376,0.0195060481384234,test_e1a,primary,p0f4,0.5609756097560976,0.005207529140585,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,88,3,True,0.0038724593149073,0.0018035007418945,0.5342750962026039,0.0,test_e1a,primary,p0f4,0.24,0.7067795008263708,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,89,18,True,0.027857504767385,0.0246949736928215,0.113525281642101,0.3212588496784672,test_e1a,primary,p0f4,0.2318840579710145,0.2131107354658402,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,90,17,True,0.0135095662852346,0.0131810631477737,0.0243163348493207,0.0684678069477567,test_e1a,primary,p0f4,0.4814814814814814,0.2303031801861658,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,100,30,True,0.0486758641196962,0.0524754410682999,-0.0780587467180915,0.3402129216497682,test_e1a,primary,p0f4,0.4545454545454545,-0.0723630721261736,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,104,1,False,0.0259889277649135,0.0052584071519347,0.7976674066933266,,test_e1a,primary,p0f4,0.6857142857142857,0.8647390469336523,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,107,15,True,0.0039236141156131,0.0016747806857471,0.5731535680120088,0.1044285912318396,test_e1a,primary,p0f4,0.375,-0.2164906401451414,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,118,10,True,0.002653949426944,0.0022385255175931,0.1565304542480733,0.0,test_e1a,primary,p0f4,0.375,0.3189357038007833,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,127,43,True,0.0344786205814806,0.0373874929714569,-0.0843674236648186,0.3777241035095497,test_e1a,primary,p0f4,0.5833333333333334,0.2883042877406515,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,134,14,True,0.0067546196206994,0.0068300045521987,-0.0111604998848937,0.116696387318489,test_e1a,primary,p0f4,0.4705882352941176,-0.2668844893593645,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,138,7,True,0.0082917331871071,0.0089803723192376,-0.0830512893494044,0.18742617594288,test_e1a,primary,p0f4,0.4833333333333333,0.3549910006366172,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,143,4,True,0.0328972127741742,0.0191306363202258,0.4184724264772905,0.0064,test_e1a,primary,p0f4,0.2258064516129032,0.2518341347638825,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,148,4,True,0.0545922427525899,0.0824097771835323,-0.5095510466021798,0.3,test_e1a,primary,p0f4,0.6896551724137931,-0.5921503739534877,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,156,3,True,0.0036819044878368,0.0079426688178062,-1.1572175063326418,0.245258394351753,test_e1a,primary,p0f4,0.2926829268292683,-0.8650471052610189,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,157,7,True,0.0690988430367933,0.0671126900125822,0.0287436509342643,0.3116728565720947,test_e1a,primary,p0f4,0.4222222222222222,-0.0383103195084961,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,158,7,True,0.0259663179985436,0.0334659845182997,-0.2888228712356018,0.1930232492781757,test_e1a,primary,p0f4,0.2894736842105263,-0.358252436688931,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,173,3,True,0.0027186260684011,0.0106332677245817,-2.9112652704147943,0.1478016689125442,test_e1a,primary,p0f4,0.5230769230769231,-3.733158041043259,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
acid,179,31,True,0.0196360385513221,0.0302210834352451,-0.5390621359933283,0.3488127059748001,test_e1a,primary,p0f4,0.72,-0.0308182680756374,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
