role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,4,34,True,2.8541159641883005,2.742097753315299,0.0392479535795102,1.048192899557871,test_e1a,primary,p0f1,0.5882352941176471,0.0165898229574216,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,5,20,True,1.149787472120385,1.0529485444509974,0.0842233282389149,1.537335389614641,test_e1a,primary,p0f1,0.5689655172413793,0.0140428956972277,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,11,30,True,2.5165486288491024,2.3846184616231865,0.0524250418662689,1.3311505507450494,test_e1a,primary,p0f1,0.4545454545454545,0.0259322931141329,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,12,21,True,0.9383756089290898,0.9097360579431912,0.0305203489022729,1.4252713248091886,test_e1a,primary,p0f1,0.3636363636363636,0.0105584497713151,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,18,92,True,2.952644522163024,2.8386023794406485,0.0386237292929632,1.5487993403577935,test_e1a,primary,p0f1,0.4318181818181818,0.0326530523811622,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,31,2,False,0.4520066947653191,0.5190141687464374,-0.1482444281404025,0.4497543329488203,test_e1a,primary,p0f1,0.4347826086956521,0.3836977112402336,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,33,12,True,2.6128686734697286,2.519149781463586,0.0358681984126243,2.054088766391194,test_e1a,primary,p0f1,0.6521739130434783,-0.0002983925451935,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,35,2,False,8.462612322744935,8.661479871265666,-0.0234995461137024,1.4413594184848828,test_e1a,primary,p0f1,0.6153846153846154,-0.087372288549324,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,38,31,True,1.048514839141884,1.062576530496202,-0.0134110561237512,1.3695668074025855,test_e1a,primary,p0f1,0.6888888888888889,-0.0139887073913973,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,43,33,True,3.139580697841726,2.980640623444111,0.0506246182832238,1.334111069586225,test_e1a,primary,p0f1,0.5833333333333334,0.0405906106443499,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,51,2,False,1.280414188819459,1.394715536934863,-0.0892690420908173,1.448668540092399,test_e1a,primary,p0f1,0.4,0.0649144107150088,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,52,36,True,3.134615482107928,2.9730889723284672,0.0515299278975165,1.315662819383551,test_e1a,primary,p0f1,0.6041666666666666,0.0203859200730359,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,53,9,True,0.7880615856102913,0.7698607311205122,0.0230957260474559,1.4084383539199627,test_e1a,primary,p0f1,0.6666666666666666,-0.0275405862819249,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,62,41,True,2.018125224758842,1.9474512391249084,0.0350196235431223,1.392711350987421,test_e1a,primary,p0f1,0.603448275862069,-0.0332482292189328,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,68,59,True,1.2710493360147048,1.328944331270212,-0.0455489756495475,1.4226968043119033,test_e1a,primary,p0f1,0.3148148148148148,-0.0191269727462122,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,69,30,True,8.668126055098178,9.003619435342904,-0.0387042571960989,1.3915888664214848,test_e1a,primary,p0f1,0.6666666666666666,-0.044081321139892,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,71,49,True,1.593845308480951,1.6098144767883351,-0.010019271144076,1.6227931007416776,test_e1a,primary,p0f1,0.3636363636363636,-0.0228413224257426,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,73,110,True,1.6732152795842945,1.701054763241679,-0.016638315461894,1.7090796963334722,test_e1a,primary,p0f1,0.2272727272727272,-0.0172623942975462,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,76,38,True,0.8444690299616218,0.8257026106430622,0.0222227442958002,1.2885618756099937,test_e1a,primary,p0f1,0.6382978723404256,0.0072617459392027,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,77,34,True,0.9570134776625372,0.9720655327630726,-0.0157281537322748,1.5419028969980375,test_e1a,primary,p0f1,0.3636363636363636,-0.0076456108597606,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,87,28,True,7.693766293591055,7.937424051579908,-0.0316695034253668,1.654091479738116,test_e1a,primary,p0f1,0.5609756097560976,-0.027366328550181,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,90,16,True,2.3561610538985853,2.550946951070098,-0.0826708755113379,1.1678864976992864,test_e1a,primary,p0f1,0.4814814814814814,-0.0355774847579428,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,91,8,True,1.975960244192266,2.1387427902529943,-0.082381488463231,1.8981394133224696,test_e1a,primary,p0f1,0.3243243243243243,-0.0017303194922471,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,107,14,True,4.516097485885507,4.770918846758191,-0.056425124052148,1.5778861108264892,test_e1a,primary,p0f1,0.2631578947368421,-0.0294636437733428,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,109,4,True,0.7729809327486907,0.8703833367574609,-0.1260088054984887,0.788474565864496,test_e1a,primary,p0f1,0.3333333333333333,-0.1003719073796671,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,111,10,True,2.197527630700551,2.183552020357994,0.0063596972103151,1.7090728514256766,test_e1a,primary,p0f1,0.2325581395348837,-0.0274506226521458,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
