role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,8,11,True,0.103064140147705,0.0758738916042831,0.2638187104113473,0.0,test_e1a,primary,p0f0,0.3076923076923077,-0.2937581117528201,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,20,20,True,0.0400780949320497,0.0774540849814835,-0.9325790088776094,0.3243208237792357,test_e1a,primary,p0f0,0.5161290322580645,-0.2940576906933057,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,21,15,True,0.1144122623306845,0.1068900721463489,0.0657463634675298,0.3533588588713422,test_e1a,primary,p0f0,0.3055555555555556,0.0396521477207336,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,22,32,True,0.0322675737487968,0.0269640906478682,0.1643595252068285,0.325752544598657,test_e1a,primary,p0f0,0.5434782608695652,-0.0041823925275725,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,23,37,True,0.0638633012584053,0.055219213383454,0.1353529758816462,0.3669016912212602,test_e1a,primary,p0f0,0.4651162790697674,0.1202674838159192,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,24,60,True,0.0552273691095671,0.0603579668750846,-0.0928995504989347,0.3106097857668433,test_e1a,primary,p0f0,0.4042553191489361,0.0653945737066612,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,36,26,True,0.0311296510922921,0.0262888290021669,0.1555051830093842,0.3273828117286926,test_e1a,primary,p0f0,0.3888888888888889,0.3006950930706837,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,45,30,True,0.0197544043090393,0.0178047847022448,0.0986929079862151,0.3097406483517772,test_e1a,primary,p0f0,0.6078431372549019,-0.1424728728572482,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,48,12,True,0.1410461304795941,0.1506987954437976,-0.0684362267251281,0.4231347742705268,test_e1a,primary,p0f0,0.3777777777777777,-0.0148369167927977,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,54,12,True,0.0112494665462929,0.012047126031388,-0.0709064275903843,0.1666118697797823,test_e1a,primary,p0f0,0.5490196078431373,-0.2966067232793861,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,56,31,True,0.0188343657998351,0.0192059252588325,-0.019727739332781,0.2521752310622324,test_e1a,primary,p0f0,0.5833333333333334,0.2553059356984145,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,59,70,True,0.0409428208422515,0.0386999222064696,0.0547812434424977,0.2725540543762573,test_e1a,primary,p0f0,0.5,-0.0518531471727743,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,79,5,True,0.1455807690457218,0.1001025937545645,0.312391365901318,0.3439063244547852,test_e1a,primary,p0f0,0.5319148936170213,0.0827931745429642,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
