family,tag,regime,sparsity_mode,observation_map,pair_coverage,seed,n_params,n_pair_params,pair_hidden,identifiable_latents,n_train_pairs,n_val_pairs,n_test_pairs,n_eligible_pairs,min_train_degree,mean_train_degree,n_isolated_interventions,test_mse_sim,test_mae_sim,test_mse_ord,test_mae_ord,test_mse,test_rmse,test_mae,test_r2,train_mse_sim,train_mae_sim,train_mse_ord,train_mae_ord,train_mse_single,train_mae_single,train_mse,train_rmse,train_mae,train_r2,test_pred_S_rms,test_pred_A_rms,test_true_S_rms,test_true_A_rms,test_S_proj_pearson,test_S_pearson,test_S_spearman,test_S_nrmse,test_A_pearson,test_A_spearman,test_A_nrmse,test_topo_auroc_S,test_topo_auprc_S,test_topo_auroc_A,test_topo_auprc_A,test_topo_base_rate,test_topk_S_overlap,sym_residual,sym_residual_rel,antisym_residual,antisym_residual_rel,pair_net_order_asymmetry,final_test_mse_sim,final_test_mae_sim,final_test_mse_ord,final_test_mae_ord,final_test_mse,final_test_rmse,final_test_mae,final_test_r2,final_test_pred_S_rms,final_test_pred_A_rms,final_test_true_S_rms,final_test_true_A_rms,final_test_S_proj_pearson,final_test_S_pearson,final_test_S_spearman,final_test_S_nrmse,final_test_A_pearson,final_test_A_spearman,final_test_A_nrmse,final_test_topo_auroc_S,final_test_topo_auprc_S,final_test_topo_auroc_A,final_test_topo_auprc_A,final_test_topo_base_rate,final_test_topk_S_overlap,test_true_v_additive_mse,noise_floor_mse,interaction_variance_share,n_restarts,restart_train_mse_worst,best_val_mse,best_epoch,epochs_run,final_train_mse,max_epochs,patience,emb_dim,pair_mode,n_interventions,simultaneity_defect,condition,skill_vs_additive_family
additive,main,both,latent,identity,0.1,4,1988,0,48,True,202,73,294,367,0,6.3125,1,0.6041173676748648,0.5130098311487413,1.2282759847659523,0.6546988707991837,1.0202231124022567,1.010060944895038,0.6074691909157028,0.6635455529418052,0.2512815714714148,0.3367678936572832,0.6175802627823973,0.4598196046366302,0.11539318047799227,0.24452804487558322,0.45917383157000863,0.6776236651490328,0.4021552681552346,0.8124624518942836,0.0,0.0,0.8104189479295445,0.7907564643727457,,,,0.9999999999992387,,,0.9999999999992004,,,,,0.2789115646258503,,0.0,0.0,0.0,0.0,0.0,0.625934018795427,0.520908686856799,1.249722220309779,0.6632530791218728,1.041792819804995,1.020682526452273,0.6158049483668482,0.6564321834354947,0.0,0.0,0.8104189479295445,0.7907564643727457,,,,0.9999999999992387,,,0.9999999999992004,,,,,0.2789115646258503,,1.076287525145831,0.0025000000000000005,0.3534790323700732,2,0.47803542017936707,1.3271790742874146,290,5000,0.4591737985610962,5000,5000,8,outer,64,0.0,c26ffacbda9c,0.0
additive,main,both,latent,identity,0.1,2,1988,0,48,True,202,74,294,368,1,6.3125,0,0.5044733667006591,0.48583586786737826,0.9854043776314259,0.6114887291314092,0.8250940406545036,0.9083468724306281,0.5696044420433989,0.7133356852576684,0.335653620518429,0.3622937665959764,0.8752430280635526,0.5296765036139152,0.12055237468346545,0.24016800620357368,0.640470995018119,0.8002943177469892,0.451557314491698,0.778177732579502,0.0,0.0,0.6634971332151967,0.6956231010395416,,,,0.9999999999988642,,,0.9999999999989667,,,,,0.23469387755102042,,0.0,0.0,0.0,0.0,0.0,0.5064063031029261,0.4869355433468545,0.9872986561332117,0.6121713834296325,0.8270012051231164,0.9093960661467128,0.5704261034020398,0.7126730747326159,0.0,0.0,0.6634971332151967,0.6956231010395416,,,,0.9999999999988642,,,0.9999999999989667,,,,,0.23469387755102042,,0.7643717300427518,0.0025000000000000005,0.26492104756961427,2,0.6412644982337952,0.7061476111412048,590,5000,0.6404709815979004,5000,5000,8,outer,64,0.0,c26ffacbda9c,0.0
additive,main,both,latent,identity,0.1,3,1988,0,48,True,202,64,257,321,0,6.3125,1,0.44826234327116116,0.4238515028540031,0.8132936986330617,0.5323084922316086,0.6916165801790948,0.8316348839359101,0.4961561624390734,0.7343838440182052,0.19114369479425683,0.28294438630610297,0.4773950124232829,0.3888096943925763,0.11163993345487785,0.2112294989119548,0.35615457777396775,0.5967868780175782,0.33992920969969953,0.8167433588847541,0.0,0.0,0.624247173031166,0.600675599158459,,,,0.9999999999987169,,,0.9999999999986142,,,,,0.2723735408560311,,0.0,0.0,0.0,0.0,0.0,0.4473273546781389,0.4218626099273948,0.8123379494311325,0.5300518382510311,0.6906677511801346,0.8310642280715339,0.49398876214315235,0.7347482429042507,0.0,0.0,0.624247173031166,0.600675599158459,,,,0.9999999999987169,,,0.9999999999986142,,,,,0.2723735408560311,,0.6351476448634765,0.0025000000000000005,0.24198641121127815,2,0.35688817501068115,0.7834079265594482,4740,5000,0.35615456104278564,5000,5000,8,outer,64,0.0,c26ffacbda9c,0.0
additive,main,both,latent,identity,0.1,0,1988,0,48,True,202,66,266,332,1,6.3125,0,0.49621198079934437,0.46022674922414714,0.8348136140651067,0.5569368172319731,0.7219464029765191,0.8496742922888271,0.524700127896031,0.7366485053517795,0.3070405582607524,0.3554137887121643,0.79080985999132,0.507280732362314,0.12309984543925898,0.22674787472601524,0.5811757706168327,0.7623488509972536,0.43469681369656277,0.7990301112694513,0.0,0.0,0.6749444343461529,0.5842553322044434,,,,0.9999999999989024,,,0.9999999999985353,,,,,0.23684210526315788,,0.0,0.0,0.0,0.0,0.0,0.49828645370688057,0.4626588860125044,0.8368818792737588,0.5588663441526138,0.7240167374181327,0.850891730726144,0.526797191439244,0.7358932890817452,0.0,0.0,0.6749444343461529,0.5842553322044434,,,,0.9999999999989024,,,0.9999999999985353,,,,,0.23684210526315788,,0.6852257480026052,0.0025000000000000005,0.2487000721143253,2,0.5812483429908752,1.0606416463851929,540,5000,0.5811757445335388,5000,5000,8,outer,64,0.0,c26ffacbda9c,0.0
additive,main,both,latent,identity,0.1,1,1988,0,48,True,202,60,242,302,2,6.3125,0,0.5287427797257648,0.46496880444113553,0.978677236684082,0.5925631684184636,0.8286990843646429,0.9103291077212916,0.5500317137593542,0.701013631743627,0.32297344076113155,0.3210327066648334,0.829725299729167,0.46244297943702983,0.12535852963768368,0.22790529829705453,0.609660600031558,0.780807658794122,0.39740523810428047,0.7542479710532356,0.0,0.0,0.7236853112125092,0.6716918191595322,,,,0.9999999999990453,,,0.9999999999988918,,,,,0.2603305785123967,,0.0,0.0,0.0,0.0,0.0,0.5271422783943411,0.4630105054524715,0.9770734715121886,0.593118613035784,0.8270964071395727,0.9094484081791405,0.5497492438413465,0.701591861709186,0.0,0.0,0.7236853112125092,0.6716918191595322,,,,0.9999999999990453,,,0.9999999999988918,,,,,0.2603305785123967,,0.8270751336687069,0.0025000000000000005,0.29530161787387416,2,0.6122707724571228,0.4485003650188446,4320,5000,0.6096605658531189,5000,5000,8,outer,64,0.0,c26ffacbda9c,0.0
unconstrained,main,both,latent,identity,0.1,0,13396,11408,76,True,202,66,266,332,1,6.3125,0,0.4545009384751951,0.42721490743736157,1.002169556763403,0.604265137476537,0.8196133506673335,0.905324997261941,0.5452483941301451,0.7010215716264209,0.04119336173587873,0.14680454696959339,0.06826226603092153,0.1884577078370754,0.041621445347539796,0.15154219106157077,0.057556398581167685,0.23990914651419126,0.17237333236115948,0.980097065976595,0.45051640272140503,0.5703275203704834,0.6749444343461529,0.5842553322044434,0.2690584706392777,0.2690584706392777,0.3057324251906,1.0256446422164103,0.23492455509949173,0.35252828913496376,1.243625757707595,0.7073266088044413,0.3833682794024414,0.6363280944561733,0.3433120330675115,0.23684210526315788,0.23076923076923078,0.0,0.0,0.0,0.0,0.295250803232193,0.45574260971046454,0.42800347867356536,1.00461699415676,0.604868708549879,0.8216588660079949,0.906454006559624,0.5459136319244412,0.7002754088641049,0.45196759700775146,0.5718501210212708,0.6749444343461529,0.5842553322044434,0.26855434409559936,0.26855434409559936,0.3047524471556249,1.0268856810080231,0.23471083915243063,0.3519839454476768,1.2453410340582982,0.7074048010008601,0.38369560991351687,0.6362499022597544,0.3434586438573395,0.23684210526315788,0.23076923076923078,0.6852257480026052,0.0025000000000000005,0.2487000721143253,2,0.0684305727481842,0.8998163938522339,4610,5000,0.0575563907623291,5000,5000,8,outer,64,0.0,03d6633dddff,-0.13528282333445052
unconstrained,main,both,latent,identity,0.1,1,13396,11408,76,True,202,60,242,302,2,6.3125,0,0.5882663577317649,0.4272549028929401,1.3153888026967007,0.642702889276112,1.0730146543750552,1.0358642065324273,0.5708868938150546,0.6128670096897322,0.056498989561601036,0.1724073350561936,0.09666919873032111,0.2251248142205133,0.036457208847938766,0.1416617373053896,0.07880658738024063,0.2807251099923921,0.20125829524475136,0.9682333436963745,0.3686756491661072,0.5781537890434265,0.7236853112125092,0.6716918191595322,0.11402845506735507,0.11402845506735507,0.24177713257305866,1.0784982113257546,0.09300690055335556,0.2383231281760139,1.2661093467513458,0.6097366320830007,0.33481821707641357,0.58065088232686,0.3257954751500956,0.2603305785123967,0.3333333333333333,0.0,0.0,0.0,0.0,0.4190696179866791,0.5460333619673345,0.4265113671641702,1.1245580038972454,0.6191850179559468,0.9317164565872752,0.9652546071308208,0.5549604676920213,0.6638459908359813,0.41209858655929565,0.5346949696540833,0.7236853112125092,0.6716918191595322,0.13127304256619787,0.13127304256619787,0.2796970924721459,1.0633841980721865,0.2297753600941865,0.3810090510706631,1.1168243716443633,0.6882149507847832,0.40332224734300004,0.6051254766338565,0.34382282263577923,0.2603305785123967,0.375,0.8270751336687069,0.0025000000000000005,0.29530161787387416,2,0.08388186991214752,0.4262327551841736,900,5000,0.07880658656358719,5000,5000,8,outer,64,0.0,03d6633dddff,-0.29481819712366053
unconstrained,main,both,latent,identity,0.1,2,13396,11408,76,True,202,74,294,368,1,6.3125,0,0.5098240535913942,0.46194743363038604,1.266956133030056,0.70984267316282,1.0145787732171687,1.0072630109445937,0.6272109266520086,0.6475025700758859,0.05336745234877239,0.17250684499321992,0.12106381874138951,0.25751704661552505,0.05802676479557137,0.1729262610012785,0.0946324195416268,0.3076238279809072,0.2238067913811707,0.9672247798300099,0.4845695495605469,0.5616095662117004,0.6634971332151967,0.6956231010395416,0.2554395955878146,0.2554395955878146,0.24386663093536137,1.0619826134125954,0.12518274527617762,0.11872233824402671,1.197204713896674,0.554074074074074,0.28808483218987074,0.5353945249597423,0.25119686109171874,0.23469387755102042,0.3448275862068966,0.0,0.0,0.0,0.0,0.2825651168823242,0.4876893620305396,0.4479364266656092,1.304673966659153,0.7115499695504801,1.032345765116282,1.0160441747858613,0.6236787885888564,0.6413297433351282,0.4790365397930145,0.6122642755508423,0.6634971332151967,0.6956231010395416,0.23370892850412178,0.23370892850412178,0.23295067781263026,1.0528279855776763,0.1133304306293412,0.235156180827164,1.2453407882598617,0.562061191626409,0.29273306358726414,0.5395813204508856,0.2637788420081392,0.23469387755102042,0.2413793103448276,0.7643717300427518,0.0025000000000000005,0.26492104756961427,2,0.0961049422621727,0.7625643014907837,1280,5000,0.09463241696357727,5000,5000,8,outer,64,0.0,03d6633dddff,-0.22965228595319487
unconstrained,main,both,latent,identity,0.1,4,13396,11408,76,True,202,73,294,367,0,6.3125,1,0.5749722004934725,0.47547180156570684,1.308743814225036,0.7126079080295827,1.0641532763145147,1.031578051489326,0.6335625392082908,0.6490580366048424,0.05532070031267836,0.16944417749203036,0.08798184485898361,0.21518994103125472,0.03433733947844603,0.1432254814965626,0.0730105022579268,0.2702045563234025,0.19452371768029408,0.9701807689419015,0.5437512993812561,0.4848243296146393,0.8104189479295445,0.7907564643727457,0.36699193403588826,0.36699193403588826,0.25006676008750234,0.9448111466250054,0.1946581652959516,0.1797280721740886,1.0686009720863472,0.6530717901518637,0.4103106888571654,0.5994592728946158,0.3427713523298762,0.2789115646258503,0.3448275862068966,0.0,0.0,0.0,0.0,0.31802380084991455,0.5543827148574573,0.4736026613413322,1.2688203099855704,0.7053398943563769,1.030674444942866,1.0152213773078589,0.6280941500180286,0.6600988585195506,0.6056736707687378,0.5189543962478638,0.8104189479295445,0.7907564643727457,0.40212053435668327,0.40212053435668327,0.2794184139786533,0.9329381719484681,0.24128208133794932,0.19534875209990288,1.0559857828394745,0.6914979291302347,0.4581766604408992,0.5822020248504371,0.3562483793167599,0.2789115646258503,0.27586206896551724,1.076287525145831,0.0025000000000000005,0.3534790323700732,2,0.1004377081990242,1.1749404668807983,1430,5000,0.07301050424575806,5000,5000,8,outer,64,0.0,03d6633dddff,-0.043059369444021334
unconstrained,main,both,latent,identity,0.1,3,13396,11408,76,True,202,64,257,321,0,6.3125,1,0.4138832890559454,0.3981614118767113,0.8760038867384555,0.5623231266932234,0.7219636875109522,0.8496844634986285,0.5076025550877195,0.7227290019775943,0.05112440328152924,0.15967776854954974,0.08781500502063673,0.20970304433764447,0.04145942945611841,0.1445069846649393,0.07232506712895183,0.26893320198322823,0.18839311369846792,0.9627856843696165,0.32518666982650757,0.28921860456466675,0.624247173031166,0.600675599158459,0.19822605603760207,0.19822605603760207,0.19173869304814042,1.016296221954754,0.041294909032919186,0.1621578010474165,1.0916460504831471,0.6208556149732619,0.40708944159629956,0.5741787624140565,0.318088368283845,0.2723735408560311,0.28,0.0,0.0,0.0,0.0,0.23709067702293396,0.4781868241976697,0.4184316689919197,1.0019184629415945,0.5781259631062844,0.8273412500269529,0.9095830088710721,0.5248945317348295,0.6822586259276399,0.4258919954299927,0.3615872263908386,0.624247173031166,0.600675599158459,0.14091013598446864,0.14091013598446864,0.20444452142340058,1.1185053240550362,0.06923212671426002,0.12472517334404123,1.1310122069238147,0.6149732620320855,0.3569244142155852,0.5331550802139037,0.30699613762684047,0.2723735408560311,0.24,0.6351476448634765,0.0025000000000000005,0.24198641121127815,2,0.08012241870164871,0.8091480731964111,790,5000,0.07232506573200226,5000,5000,8,outer,64,0.0,03d6633dddff,-0.04387851332887216
